Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,State Department,Citizens Redistricting Commission,,"Chief Counsel, Citizens Redistricting Commission",False,False,,138060,199368,,154305,0,0,1016,155321,47520,0,0,40805,88325,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Citizens Redistricting Commission,,"Deputy Executive Director, Crc",False,False,,110160,153600,,103486,0,0,1700,105186,32736,0,0,23828,56564,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Citizens Redistricting Commission,,"Deputy Administrator, Citizens Redistricting Commission",False,False,,110160,141588,,96927,0,0,0,96927,2056,0,0,0,2056,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Citizens Redistricting Commission,,"It Manager, Crc",False,False,,92784,116172,,89269,0,3498,1417,94184,28780,0,0,22681,51461,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Citizens Redistricting Commission,,"Retired Annuitant, Citizens Redistricting Commission",False,False,,28824,175000,,45523,0,19062,0,64584,13887,0,0,6399,20286,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Citizens Redistricting Commission,,"Commissioner, Citizens Redistricting Commission",False,False,,97978,97978,,27972,0,0,0,27972,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Citizens Redistricting Commission,,"Commissioner, Citizens Redistricting Commission",False,False,,97978,97978,,26460,0,0,0,26460,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Citizens Redistricting Commission,,"Executive Director, Citizens Redistricting Commission",False,False,,128064,187116,,24527,0,0,0,24527,7203,0,0,0,7203,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Citizens Redistricting Commission,,"Commissioner, Citizens Redistricting Commission",False,False,,97978,97978,,23058,0,0,0,23058,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Citizens Redistricting Commission,,"Attorney IV, Range A",False,False,"Attorney IV, Range L",125436,161052,,22846,0,0,0,22846,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Citizens Redistricting Commission,,Staff Services Manager I,False,False,,73488,91296,,20104,0,0,0,20104,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Citizens Redistricting Commission,,"Commissioner, Citizens Redistricting Commission",False,False,,97978,97978,,19278,0,0,0,19278,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,Citizens Redistricting Commission,,"Commissioner, Citizens Redistricting Commission",False,False,,97978,97978,,18522,0,0,0,18522,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
