Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,State Department,Coachella Valley Mountains Conservancy,,"Executive Director, Coachella Valley Mountains Conservancy",False,False,,123792,137868,,125040,0,0,3670,128710,39748,0,0,8901,48648,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Coachella Valley Mountains Conservancy,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,88100,0,0,3120,91220,20940,0,0,8168,29107,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Coachella Valley Mountains Conservancy,,Staff Services Manager I,False,False,,78756,97836,,78283,0,0,3345,81628,24799,0,0,21519,46317,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Coachella Valley Mountains Conservancy,,Staff Services Manager I,False,False,,78756,97836,,53321,0,20142,2070,75533,16164,0,0,402,16566,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Coachella Valley Mountains Conservancy,,"Staff Services Analyst, Range C",False,False,,55056,68928,,58248,0,0,1905,60153,18082,0,0,972,19054,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Coachella Valley Mountains Conservancy,,"Board Member, Coachella Valley Mountains Conservancy",False,False,,19440,19440,,675,0,0,0,675,202,0,0,0,202,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Coachella Valley Mountains Conservancy,,"Board Member, Coachella Valley Mountains Conservancy",False,False,,19440,19440,,450,0,0,0,450,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Coachella Valley Mountains Conservancy,,"Board Member, Coachella Valley Mountains Conservancy",False,False,,19440,19440,,375,0,0,0,375,116,0,0,0,116,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Coachella Valley Mountains Conservancy,,"Board Member, Coachella Valley Mountains Conservancy",False,False,,19440,19440,,375,0,0,0,375,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Coachella Valley Mountains Conservancy,,"Board Member, Coachella Valley Mountains Conservancy",False,False,,19440,19440,,300,0,0,0,300,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,

