Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,State Department,Colorado River Board of California,,Executive Director/Colorado River Board,False,False,,158292,163056,,157870,0,0,6129,163999,41066,0,0,14996,56062,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Colorado River Board of California,,Principal Engineer Water Resources,False,False,,141084,160248,,151902,0,0,3691,155593,40229,0,0,19460,59690,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Colorado River Board of California,,"C.E.A., Range B",False,False,,79764,181548,,112658,0,0,4504,117161,30323,0,0,14996,45319,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Colorado River Board of California,,Senior Hydraulic Engineer,False,False,,105624,132180,,90016,0,21905,0,111921,23766,0,0,6062,29828,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Colorado River Board of California,,"Engineer, Water Resources, Range C",False,False,,79428,99372,,83167,0,0,8,83175,22651,0,0,18172,40823,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Colorado River Board of California,,Staff Services Manager I,False,False,,65640,81552,,67797,0,0,-61,67736,17735,0,0,7650,25386,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Colorado River Board of California,,"Engineer, Water Resources, Range C",False,False,,79428,99372,,56018,0,0,5460,61478,17762,0,0,19368,37130,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Colorado River Board of California,,"Associate Governmental Program Analyst, Range A",False,False,,55200,69096,,56581,0,0,9,56589,15323,0,0,14441,29764,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Colorado River Board of California,,"Environmental Scientist, Range B",False,False,,48516,60192,,46574,0,0,186,46760,12343,0,0,7067,19410,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Colorado River Board of California,,"Office Technician (Typing), Range A",False,False,,33708,42180,,35355,0,0,674,36029,10257,0,0,18948,29205,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Colorado River Board of California,,Executive Director/Colorado River Board,False,False,,158292,163056,,24031,0,0,0,24031,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Colorado River Board of California,,"Member, Colorado River Board",False,False,,25920,25920,,1000,0,0,0,1000,0,0,0,0,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Colorado River Board of California,,"Member, Colorado River Board",False,False,,25920,25920,,600,0,0,0,600,0,0,0,0,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/25/2017,,,,

