Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,State Department,Colorado River Board of California,,Principal Engineer Water Resources,False,False,,169248,192240,,193453,0,0,8235,201688,60855,0,0,8901,69755,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Colorado River Board of California,,Executive Director/Colorado River Board,False,False,,189900,195612,,182343,0,0,3645,185988,58610,0,0,17169,75778,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Colorado River Board of California,,Environmental Program Manager I (Managerial),False,False,,153900,174768,,155620,0,0,1100,156720,48634,0,0,8901,57534,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Colorado River Board of California,,"C.E.A., Range B",False,False,,113652,234684,,136455,0,0,9257,145712,43347,0,0,8901,52247,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Colorado River Board of California,,Staff Services Manager I,False,False,,78756,97836,,59008,0,49646,3023,111677,18878,0,0,11446,30324,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Colorado River Board of California,,"Engineer, Water Resources, Range C",False,False,,95280,119208,,106021,0,0,650,106671,35718,0,0,20856,56574,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Colorado River Board of California,,"Engineer, Water Resources, Range C",False,False,,95280,119208,,78954,0,0,490,79444,24668,0,0,6800,31468,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Colorado River Board of California,,Executive Director/Colorado River Board,False,False,,189900,195612,,62342,0,0,0,62342,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Colorado River Board of California,,"Office Technician (Typing), Range A",False,False,,40428,50604,,40909,0,0,5470,46379,13306,0,0,8382,21688,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Colorado River Board of California,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,28178,0,11908,1500,41586,8550,0,0,2662,11212,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Colorado River Board of California,,"Staff Services Analyst, Range C",False,False,,55056,68928,,40419,0,0,500,40919,12096,0,0,0,12096,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Colorado River Board of California,,"Engineer, Water Resources, Range C",False,False,,95280,119208,,0,0,25988,0,25988,0,0,0,0,0,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Colorado River Board of California,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,18709,0,0,3120,21829,7352,0,0,19788,27140,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Colorado River Board of California,,"Member, Colorado River Board",False,False,,25920,25920,,600,0,0,0,600,0,0,0,0,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/25/2023,,,True,

