Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2017,State Department,"Teacher Credentialing, Commission on",,Executive Director,False,False,,143424,174480,,163727,0,0,6453,170180,46821,0,0,14996,61818,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,"C.E.A., Range B",False,False,,82956,190620,,165770,0,0,3204,168974,46373,0,0,19424,65797,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,Assistant Chief Counsel,False,False,,142056,166164,,158166,0,0,6087,164253,44353,0,0,8124,52477,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,"C.E.A., Range B",False,False,,82956,190620,,140059,0,0,5241,145300,37939,0,0,1984,39923,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,"Attorney III, Range A",False,False,,106272,136332,,133787,0,0,2497,136284,36389,0,0,3566,39955,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,"Attorney III, Range A",False,False,,106272,136332,,123679,0,0,4741,128420,35238,0,0,19153,54390,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,Deputy Director,False,False,,131100,146016,,124190,0,0,563,124753,35934,0,0,19424,55358,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,"C.E.A., Range A",False,False,,82956,190620,,110780,0,0,4826,115606,32011,0,0,19424,51436,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,"C.E.A., Range B",False,False,,82956,190620,,117393,0,0,-1827,115566,33612,0,0,18886,52498,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,Teacher Preparation Administrator I (Examinations and Research),False,False,,85488,107052,,103558,0,0,4101,107659,13990,0,0,7736,21727,State Teachers Retirement System,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,Teacher Preparation Administrator I (Program Evaluation and Research),False,False,,85488,107052,,101722,0,0,180,101902,13990,0,0,7736,21727,State Teachers Retirement System,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,Senior Information Systems Analyst (Supervisor),False,False,,78612,103332,,97851,0,0,3822,101672,27729,0,0,19424,47153,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,Teacher Preparation Administrator I (Program Evaluation and Research),False,False,,85488,107052,,96618,0,0,4404,101022,28727,0,0,19424,48151,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,"Staff Information Systems Analyst (Specialist), Range A",False,False,,66084,86904,,81421,15312,0,2500,99233,23319,0,0,18841,42160,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,Staff Services Manager III,False,False,,91116,103452,,97530,0,0,0,97530,27644,0,0,19424,47068,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,"Senior Information Systems Analyst (Specialist), Range A",False,False,,72684,95532,,90039,0,0,6033,96072,25636,0,0,18119,43755,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,"Consultant In Teacher Preparation (Program Evaluation and Research), Range A",False,False,,74676,93468,,89757,0,0,6046,95803,25024,0,0,7297,32320,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,"Senior Information Systems Analyst (Specialist), Range A",False,False,,72684,95532,,89519,0,0,6033,95551,25636,0,0,18841,44477,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Teacher Credentialing, Commission on",,"Consultant In Teacher Preparation (Program Evaluation and Research), Range A",False,False,,74676,93468,,92643,0,0,2500,95143,25081,0,0,2125,27206,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
