Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2012,State Department,"Status of Women, Commission on",,"Executive Director, Commission On Status Of Women",,,,83064,89820,,7392,0,33512,0,40904,1360,0,0,533,1893,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Status of Women, Commission on",,"Legislative Coordinator, Commission On The Status Of Women",,,,60948,73524,,27526,0,8761,3173,39460,5727,0,0,2663,8390,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Status of Women, Commission on",,Attorney IV,,,"Retired Annuitant, Citizens Redistricting Commission",101832,125724,,18843,0,0,0,18843,0,0,0,0,0,,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Status of Women, Commission on",,"Staff Information Systems Analyst (Specialist), Range A",,,,60780,77592,,783,0,0,0,783,0,0,0,,0,,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Status of Women, Commission on",,"Staff Information Systems Analyst (Specialist), Range A",,,,60780,77592,,320,0,0,0,320,0,0,0,,0,,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Status of Women, Commission on",,"Member, Commission On Status Of Women",,,,25920,25920,,200,0,0,0,200,0,0,0,,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Status of Women, Commission on",,"Member, Commission On Status Of Women",,,,25920,25920,,100,0,0,0,100,0,0,0,,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Status of Women, Commission on",,"Member, Commission On Status Of Women",,,,25920,25920,,100,0,0,0,100,0,0,0,,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Status of Women, Commission on",,"Member, Commission On Status Of Women",,,,25920,25920,,100,0,0,0,100,0,0,0,,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/01/2014,,,,

