Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2010,State Department,"Judicial Performance, Commission on",,Director/Chief Counsel (CJP),,,,138516,184800,,165855,0,0,7870,173725,31718,0,0,11251,42969,1.25% @ 65,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Legal Advisor To Commissioners,,,,107628,160704,,150882,0,0,67,150949,27850,0,0,11017,38866,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Senior Attorney III,,,,95100,126900,,112711,0,0,9762,122472,21991,0,0,14083,36075,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Senior Attorney III,,,,95100,126900,,114849,0,0,4887,119736,21112,0,0,7056,28167,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Senior Attorney III,,,,95100,126900,,113875,0,0,0,113875,21167,0,0,10849,32016,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Senior Attorney III,,,,95100,126900,,111344,0,0,6,111350,20724,0,0,5633,26357,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Senior Attorney IV,,,,107628,143640,,104627,0,0,0,104627,19914,0,0,14083,33997,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Senior Business Systems Analyst,,,,82440,105204,,92190,0,0,8093,100283,18231,0,0,13895,32127,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Senior Attorney II,,,,82596,104976,,95935,0,0,0,95935,17614,0,0,5215,22829,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Supervising Adminstrative Specialist,,,,75132,91296,,86022,0,0,7022,93044,15821,0,0,5543,21364,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Senior Attorney III,,,,95100,126900,,92814,0,0,30,92844,17593,0,0,14083,31676,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Senior Attorney II,,,,82596,104976,,76030,0,0,4038,80068,14554,0,0,11251,25805,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Senior Attorney III,,,,95100,126900,,67106,0,0,5857,72963,13195,0,0,14083,27278,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Executive Secretary,,,,60864,73992,,69222,0,0,0,69222,12823,0,0,5633,18455,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Administrative Coordinator II (CJP),,,,56640,68796,,64532,0,0,0,64532,11922,0,0,5633,17555,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Senior Attorney III,,,,95100,126900,,57434,0,0,4881,62314,10856,0,0,14083,24940,1.25% @ 65,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Business Services Officer II,,,,51480,62604,,60789,0,0,0,60789,10849,0,0,3043,13892,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Secretary To Trial Counsel I,,,,53232,64716,,60733,0,0,0,60733,11215,0,0,5633,16848,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Secretary To Staff Counsel II,,,,48420,58824,,54147,0,0,0,54147,10084,0,0,5633,15717,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Secretary To Staff Counsel II,,,,48420,58824,,52981,0,0,0,52981,10194,0,0,11251,21445,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Judicial Performance, Commission on",,Secretary To Trial Counsel II,,,,58680,71304,,52133,0,0,0,52133,9885,0,0,10849,20735,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,

