Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,State Department,"Judicial Performance, Commission on",,Director/Chief Counsel (CJP),False,True,,183924,238056,,224037,0,0,0,224037,71926,0,0,26392,98319,2.00% @ 62,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Legal Advisor to Commissioners,False,True,,187968,207012,,190324,0,0,0,190324,59971,0,0,25466,85436,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Trial Counsel,False,True,,125892,187968,,177236,0,0,28,177264,56793,0,0,25148,81940,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Senior Attorney IV,False,True,,125892,167988,,159974,0,0,0,159974,50729,0,0,24777,75506,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Senior Attorney IV,False,True,,125892,167988,,155180,0,0,0,155180,50756,0,0,24781,75537,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Senior Attorney IV,False,True,,125892,167988,,151003,0,0,0,151003,46893,0,0,20369,67262,2.00% @ 62,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Senior Attorney IV,False,True,,125892,167988,,147381,0,0,0,147381,46726,0,0,24465,71191,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Senior Attorney III,False,True,,111216,148416,,143146,0,0,0,143146,44843,0,0,11779,56621,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Senior Attorney III,False,True,,111216,148416,,135084,0,0,0,135084,43049,0,0,19471,62520,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Senior Attorney III,False,True,,111216,148416,,128460,0,0,0,128460,39851,0,0,19825,59675,2.00% @ 62,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Senior Attorney II,False,True,,96600,122784,,116733,0,0,8338,125071,37098,0,0,19018,56116,2.00% @ 62,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Senior Attorney II,False,True,,96600,122784,,118698,0,0,0,118698,37047,0,0,11127,48174,2.00% @ 62,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Senior Attorney II,False,True,,96600,122784,,104125,0,0,0,104125,32541,0,0,10778,43319,2.00% @ 62,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Supervising Adminstrative Specialist,False,True,,87888,106776,,102482,0,0,0,102482,32261,0,0,10821,43083,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Senior Attorney IV,False,True,,125892,167988,,99298,0,0,0,99298,35519,0,0,23492,59011,2.00% @ 62,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Administrative Specialist,False,True,,79968,97200,,71817,0,0,0,71817,22998,0,0,17817,40815,2.00% @ 62,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Adminstrative Assistant to the Legal Advisor,False,True,,68628,83412,,70828,0,0,0,70828,25202,0,0,17989,43191,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Secretary to Staff Counsel II,False,True,,56640,68808,,66266,0,0,0,66266,20790,0,0,9705,30495,2.00% @ 62,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Secretary to Staff Counsel II,False,True,,56640,68808,,64735,0,0,0,64735,20790,0,0,16840,37630,2.00% @ 62,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Secretary to Staff Counsel I,False,True,,51456,62544,,54169,0,0,3952,58121,17077,0,0,9577,26654,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Secretary to Staff Counsel II,False,True,,56640,68808,,57633,0,0,0,57633,18341,0,0,9686,28027,2.00% @ 62,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Secretary to Trial Counsel I,False,True,,62256,75684,,57375,6,0,0,57381,20452,0,0,22470,42923,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Judicial Performance, Commission on",,Senior Attorney III,False,True,,111216,148416,,5281,0,0,0,5281,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,

