Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,State Department,"State Mandates, Commission on",,"C.E.A., Range B",False,False,,74076,165384,,136309,0,0,0,136309,28935,0,0,17396,46331,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"State Mandates, Commission on",,"Executive Director, Commission On State Mandates",False,False,,117060,130380,,115576,0,0,0,115576,24639,0,0,6944,31584,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"State Mandates, Commission on",,"Attorney III, Range A",False,False,,92184,118284,,106506,0,0,0,106506,23424,0,0,16844,40269,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"State Mandates, Commission on",,"Attorney III, Range A",False,False,,92184,118284,,70686,0,17081,-288,87479,15301,0,0,9838,25139,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"State Mandates, Commission on",,"Attorney III, Range A",False,False,,92184,118284,,85926,0,0,0,85926,0,0,0,1819,1819,Alternate Retirement Plan (ARP),https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"State Mandates, Commission on",,"Senior Information Systems Analyst (Specialist), Range A",False,False,,66852,87864,,81696,0,0,250,81946,17494,0,0,2924,20418,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"State Mandates, Commission on",,Staff Services Manager II (Managerial),False,False,,74076,84144,,70919,0,0,0,70919,15191,0,0,17396,32587,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"State Mandates, Commission on",,"Senior Legal Analyst, Range A",False,False,,55428,69408,,70045,0,0,0,70045,15217,0,0,17107,32323,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"State Mandates, Commission on",,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,60887,0,0,1258,62144,12826,0,0,2924,15750,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"State Mandates, Commission on",,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,59276,0,0,0,59276,13160,0,0,16826,29986,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"State Mandates, Commission on",,"Attorney, Range B",False,False,,56136,64104,,55207,0,0,0,55207,0,0,0,6548,6548,Alternate Retirement Plan (ARP),https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"State Mandates, Commission on",,"Office Technician (Typing), Range A",False,False,,32232,40344,,37612,0,0,0,37612,8048,0,0,6263,14311,1.25% @ 65,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"State Mandates, Commission on",,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,22654,0,0,0,22654,6580,0,0,16844,23424,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"State Mandates, Commission on",,Staff Services Manager II (Managerial),False,False,,74076,84144,,6101,0,0,0,6101,1271,0,0,579,1850,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"State Mandates, Commission on",,Public Member/Commission On State Mandates,False,False,,25920,25920,,1200,0,0,0,1200,0,0,0,0,0,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"State Mandates, Commission on",,Public Member/Commission On State Mandates,False,False,,25920,25920,,1000,0,0,0,1000,0,0,0,0,0,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"State Mandates, Commission on",,Public Member/Commission On State Mandates,False,False,,25920,25920,,1000,0,0,0,1000,0,0,0,0,0,,https://www.calhr.ca.gov,,07/14/2014,,,,

