Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2017,State Department,"Community Services & Development, Department of",,"Attorney III, Range A",False,False,,106272,136332,,119945,0,45421,300,165666,23326,0,0,9622,32948,,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,Director/Department of Community Services and Development,False,False,,145365,164914,,145443,0,0,5645,151088,40958,0,0,14996,55955,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,Chief Deputy Director/Department of Community Services and Development,False,False,,118068,131544,,117082,0,0,4608,121689,33265,0,0,17964,51229,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,"Staff Programmer Analyst (Specialist), Range A",False,False,,66084,86904,,82058,25856,0,2500,110415,23319,0,0,14435,37755,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,Data Processing Manager III,False,False,,95664,114048,,105875,0,0,4218,110093,30561,0,0,19424,49985,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,"C.E.A., Range A",False,False,,82956,190620,,104441,0,0,4410,108851,30876,0,0,19424,50300,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,Staff Services Manager III,False,False,,91116,103452,,92495,0,0,3126,95621,27760,0,0,19424,47184,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,Information Officer III C.E.A.,False,False,,95544,108492,,95553,0,0,0,95553,27160,0,0,19424,46585,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,"Systems Software Specialist III (Technical), Range A",False,False,,79728,104784,,90908,0,0,2590,93498,25952,0,0,18182,44134,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,Staff Services Manager II (Supervisory),False,False,,74940,93120,,92894,0,0,0,92894,24989,0,0,1984,26973,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,"Staff Programmer Analyst (Specialist), Range A",False,False,,66084,86904,,86631,3383,0,2500,92514,23319,0,0,1804,25123,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,Staff Services Manager III,False,False,,91116,103452,,90620,0,0,0,90620,25674,0,0,15365,41039,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,Staff Services Manager II (Supervisory),False,False,,74940,93120,,90465,0,0,0,90465,24989,0,0,7736,32725,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,"Senior Information Systems Analyst (Specialist), Range A",False,False,,72684,95532,,56648,0,32606,0,89254,10222,0,0,970,11192,,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,Staff Services Manager II (Supervisory),False,False,,74940,93120,,89080,0,0,0,89080,23960,0,0,1984,25944,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,"Senior Programmer Analyst (Specialist), Range A",False,False,,72684,95532,,87217,0,0,700,87917,23755,0,0,1654,25409,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,Staff Services Manager I,False,False,,68268,84816,,83952,0,0,3917,87869,22760,0,0,2588,25348,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,Staff Management Auditor,False,False,,68268,89064,,82530,0,0,2471,85001,23901,0,0,19424,43325,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,Staff Services Manager I,False,False,,68268,84816,,80891,0,0,3137,84028,22760,0,0,7736,30496,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,Staff Services Manager I,False,False,,68268,84816,,80130,0,0,2894,83024,22760,0,0,7736,30496,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,Staff Services Manager I,False,False,,68268,84816,,79748,0,0,3137,82884,22760,0,0,19424,42184,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,Staff Services Manager I,False,False,,68268,84816,,79406,0,0,3137,82543,22760,0,0,19424,42184,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,"Associate Management Auditor, Range A",False,False,,60264,79248,,74581,0,0,5346,79927,20865,0,0,7297,28162,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,"Associate Management Auditor, Range A",False,False,,60264,79248,,74426,0,0,5431,79858,21266,0,0,7297,28562,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,"Community Services & Development, Department of",,"Associate Information Systems Analyst (Specialist), Range A",False,False,,60264,79248,,74642,2665,0,2500,79807,20948,0,0,8005,28952,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
