Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2012,State Department,"Conservation, Department of",,Senior Oil And Gas Engineer (Supervisor),,,,101904,123888,,118807,0,45519,94,164420,23229,0,0,15424,38654,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,"C.E.A., Range 4",,,,74076,160572,,143335,0,0,0,143335,28731,0,0,16040,44771,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,State Oil And Gas Supervisor,,,,160800,160800,,133519,0,0,723,134242,27157,0,0,16040,43197,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,"C.E.A., Range 2",,,,74076,160572,,83491,0,50610,0,134101,15941,0,0,12032,27973,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Supervising Oil And Gas Engineer,,,,112068,136248,,122080,0,0,9294,131375,24173,0,0,12344,36517,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Senior Oil And Gas Engineer (Supervisor),,,,101904,123888,,123063,0,0,0,123063,23229,0,0,2363,25592,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,"C.E.A., Range 4",,,,74076,160572,,122621,0,0,0,122621,24753,0,0,16040,40793,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Supervising Oil And Gas Engineer,,,,112068,136248,,120863,0,0,24,120887,23798,0,0,16040,39838,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Senior Oil And Gas Engineer (Supervisor),,,,101904,123888,,120664,0,0,24,120688,23229,0,0,6392,29622,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Senior Oil And Gas Engineer (Supervisor),,,,101904,123888,,120672,0,0,0,120672,23229,0,0,6392,29622,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Senior Oil And Gas Engineer (Supervisor),,,,101904,123888,,120664,0,0,0,120664,23229,0,0,6392,29622,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Senior Oil And Gas Engineer (Supervisor),,,,101904,123888,,119744,0,0,0,119744,23229,0,0,6392,29622,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Senior Oil And Gas Engineer (Supervisor),,,,101904,123888,,118941,0,0,0,118941,23229,0,0,12344,35574,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Senior Oil And Gas Engineer (Supervisor),,,,101904,123888,,118624,0,0,0,118624,23229,0,0,6392,29622,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Senior Oil And Gas Engineer (Supervisor),,,,101904,123888,,118050,0,0,514,118564,23323,0,0,16040,39363,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,"C.E.A., Range 2",,,,74076,160572,,90451,0,27477,0,117929,17897,0,0,6392,24289,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Senior Oil And Gas Engineer (Supervisor),,,,101904,123888,,117677,0,0,0,117677,23229,0,0,12344,35574,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Associate Oil And Gas Engineer,,,,97380,118308,,111785,683,0,4776,117244,22627,0,0,8184,30811,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,"Senior Engineering Geologist, Range A",,,,97464,118440,,69343,0,47555,0,116898,14156,0,0,8126,22281,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Attorney IV,,,,101832,125724,,116458,0,0,0,116458,23076,0,0,6032,29108,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Senior Oil And Gas Engineer (Supervisor),,,,101904,123888,,116060,0,0,0,116060,23229,0,0,16040,39270,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,"Senior Engineering Geologist, Range A",,,,97464,118440,,115451,0,0,0,115451,21876,0,0,2924,24801,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,"Senior Engineering Geologist, Range A",,,,97464,118440,,115451,0,0,0,115451,21876,0,0,2924,24801,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Associate Oil And Gas Engineer,,,,97380,118308,,115323,0,0,0,115323,21852,0,0,2924,24776,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Attorney IV,,,,101832,125724,,114868,0,0,0,114868,22817,0,0,11852,34669,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Supervising Engineering Geologist,,,,97164,118104,,113945,0,0,0,113945,22145,0,0,6392,28537,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Associate Oil And Gas Engineer,,,,97380,118308,,111544,2147,0,0,113692,21852,0,0,15860,37712,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,"Senior Engineering Geologist, Range A",,,,97464,118440,,113224,0,0,250,113474,21876,0,0,6372,28249,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Supervising Engineering Geologist,,,,97164,118104,,112989,0,0,420,113408,22145,0,0,12344,34489,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Supervising Engineering Geologist,,,,97164,118104,,113269,0,0,0,113269,22145,0,0,12344,34489,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Associate Oil And Gas Engineer,,,,97380,118308,,113259,0,0,0,113259,21852,0,0,6097,27949,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Associate Oil And Gas Engineer,,,,97380,118308,,113259,0,0,0,113259,21852,0,0,6372,28224,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Supervising Engineering Geologist,,,,97164,118104,,113107,0,0,0,113107,22145,0,0,16040,38185,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Director/Dept Of Conservation,,,,129797,142964,,113002,0,0,0,113002,22403,0,0,1839,24242,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,"Engineering Geologist, Range D",,,,83124,101064,,63629,0,48905,0,112534,12079,0,0,1203,13282,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Associate Oil And Gas Engineer,,,,97380,118308,,110704,0,0,1749,112454,22211,0,0,15860,38071,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Conservation, Department of",,Associate Oil And Gas Engineer,,,,97380,118308,,111641,341,0,0,111983,21852,0,0,15314,37166,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
