Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2012,State Department,"Consumer Affairs, Department of",Board Of Dental Examiners,"Executive Officer, Dental Board, Department Of Consumer     Affairs",,,,95808,103608,,101660,0,58387,-187,159860,19657,0,0,6925,26582,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Consumer Affairs, Department of",Bureau Of Automotive Repair,"Senior Air Quality Engineer, Department Of Consumer Affairs",,,,88524,107580,,112639,0,42838,54,155532,21845,0,0,7917,29762,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Consumer Affairs, Department of",Board Of Dental Examiners,Staff Services Manager III,,,,81348,89688,,86361,0,47254,0,133616,17186,0,0,13373,30559,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Consumer Affairs, Department of",Admin & Info Svs,Staff Administrative Analyst -Accounting Systems-,,,,60948,73524,,76470,0,55519,0,131989,14930,0,0,6971,21901,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Consumer Affairs, Department of",Admin & Info Svs,Deputy Director For Legal Affairs/Department Of Consumer Affairs,,,,126864,137196,,131635,0,0,0,131635,25725,0,0,6392,32117,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Consumer Affairs, Department of",Admin & Info Svs,Director/Department Of Consumer Affairs,,,,142965,150112,,129041,0,0,0,129041,24508,0,0,1653,26162,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Consumer Affairs, Department of",Board Of Dental Examiners,"Dental Consultant, State Board Of Dental Examiners",,,,103068,141408,,125224,0,0,0,125224,26412,0,0,11852,38265,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Consumer Affairs, Department of",Admin & Info Svs,Accounting Administrator II,,,,66912,80724,,61211,0,62481,0,123692,11879,0,0,9990,21868,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Consumer Affairs, Department of",Board Of Registered Nursing,"Executive Officer, Board Of Registered Nursing/Department Of Consumer Affairs",,,,125424,125424,,121125,0,0,0,121125,23517,0,0,6392,29910,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Consumer Affairs, Department of",Board Of Pharmacy,Supervising Inspector Board Of Pharmacy,,,,73452,98244,,120713,0,0,0,120713,23016,0,0,3345,26361,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Consumer Affairs, Department of",Board Of Pharmacy,Supervising Inspector Board Of Pharmacy,,,,73452,98244,,118518,0,0,877,119396,22173,0,0,6392,28566,1.25% @ 65,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Consumer Affairs, Department of",Board Of Pharmacy,Supervising Inspector Board Of Pharmacy,,,,73452,98244,,118549,0,0,0,118549,23016,0,0,6392,29408,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Consumer Affairs, Department of",Board Of Pharmacy,Supervising Inspector Board Of Pharmacy,,,,73452,98244,,117400,0,0,0,117400,23016,0,0,14808,37824,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
