Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2018,State Department,Delta Protection Commission,,"Program Manager II, California Bay-Delta Authority",False,False,,135084,153372,,143005,0,0,10,143015,42044,0,0,9316,51360,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Delta Protection Commission,,Executive Director/Delta Protection Commission,False,False,,116952,130356,,126773,0,0,24,126797,36748,0,0,8324,45072,2.00% @ 60,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Delta Protection Commission,,"Program Manager I, California Bay-Delta Authority",False,False,,122940,139608,,118755,0,0,0,118755,34859,0,0,3428,38287,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Delta Protection Commission,,"Program Manager I, California Bay-Delta Authority",False,False,,122940,139608,,114302,0,0,0,114302,33655,0,0,8937,42592,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Delta Protection Commission,,Senior Environmental Planner,False,False,,77940,96840,,78029,0,0,32,78061,25639,0,0,20278,45917,2.00% @ 60,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Delta Protection Commission,,"Information Officer I (Specialist), Range A",False,False,,59700,74736,,63980,0,0,0,63980,19488,0,0,14668,34156,2.00% @ 60,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Delta Protection Commission,,"Executive Secretary II, Range A",False,False,,44628,55848,,42478,0,0,100,42578,12854,0,0,8414,21268,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Delta Protection Commission,,Associate Environmental Planner,False,False,,65808,82428,,42784,0,0,-452,42332,13578,0,0,14204,27783,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Delta Protection Commission,,Senior Environmental Planner,False,False,,77940,96840,,11442,0,11618,-164,22896,3409,0,0,4057,7466,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,

