Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,Delta Stewardship Council,,"Chief Counsel, Delta Stewardship Council",False,False,,170400,191832,,178903,0,0,8664,187567,46733,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Delta Stewardship Council,,"C.E.A., Range B",False,False,,117060,241728,,176309,0,0,9921,186230,59996,0,0,23377,83373,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Delta Stewardship Council,,"Attorney IV, Range A",False,False,,139728,179448,,171777,0,0,14002,185779,46733,0,0,8857,55590,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Delta Stewardship Council,,"Program Manager III, California Bay-Delta Authority",False,False,,166368,189000,,183745,0,0,600,184345,59452,0,0,1996,61448,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Delta Stewardship Council,,"Program Manager III, California Bay-Delta Authority",False,False,,166368,189000,,183644,0,0,600,184244,59452,0,0,1996,61448,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Delta Stewardship Council,,"Chairperson, Delta Stewardship Council",False,False,,190224,195948,,181873,0,0,0,181873,59837,0,0,23377,83214,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Delta Stewardship Council,,"Executive Officer, Delta Stewardship Council",False,False,,180948,191700,,178805,0,0,2420,181225,60302,0,0,23377,83679,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Delta Stewardship Council,,"C.E.A., Range B",False,False,,117060,241728,,177910,0,0,2420,180330,46733,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Delta Stewardship Council,,"C.E.A., Range B",False,False,,117060,241728,,175570,0,0,2420,177990,46733,0,0,9397,56130,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Delta Stewardship Council,,"Program Manager II, California Bay-Delta Authority",False,False,,156588,177804,,172918,0,0,600,173518,55930,0,0,1996,57926,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Delta Stewardship Council,,"Supervising Engineer Water Resources, Range A",False,False,,143484,179604,,169291,0,0,600,169891,56976,0,0,23377,80352,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Delta Stewardship Council,,"Program Manager II, California Bay-Delta Authority",False,False,,156588,177804,,167886,0,0,600,168486,46733,0,0,18217,64950,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Delta Stewardship Council,,Environmental Program Manager I (Supervisory),False,False,,143352,178212,,157141,0,0,910,158051,46677,0,0,1996,48673,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Delta Stewardship Council,,"Attorney III, Range A",False,False,,126432,162312,,157262,0,0,575,157837,51030,0,0,3235,54266,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Delta Stewardship Council,,"Senior Engineer Water Resources, Range A",False,False,,130632,163500,,155036,0,0,425,155461,51431,0,0,9397,60827,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Delta Stewardship Council,,"Program Manager I, California Bay-Delta Authority",False,False,,142524,161832,,144784,0,0,6650,151434,46444,0,0,18217,64660,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
