Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,State Department,"Managed Health Care, Department of",,Assistant Chief Counsel,False,False,,151812,177564,,182170,0,14091,0,196261,54695,0,0,7374,62070,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,Assistant Chief Counsel,False,False,,151812,177564,,172197,0,0,1370,173567,53697,0,0,11238,64935,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"C.E.A., Range B",False,False,,89304,210156,,170096,0,0,2340,172436,52600,0,0,25231,77831,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,Assistant Chief Counsel,False,False,,151812,177564,,170524,0,0,0,170524,51243,0,0,5400,56643,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,Assistant Chief Counsel,False,False,,151812,177564,,166463,0,0,2860,169323,51243,0,0,11781,63024,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"C.E.A., Range B",False,False,,89304,210156,,167637,0,0,1300,168937,52567,0,0,25463,78030,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,Assistant Chief Counsel,False,False,,151812,177564,,160940,0,0,7628,168568,52663,0,0,24415,77078,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,Assistant Chief Counsel,False,False,,151812,177564,,165000,0,0,3050,168050,51243,0,0,19605,70848,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,Assistant Chief Counsel,False,False,,151812,177564,,164492,0,0,3010,167502,51243,0,0,11781,63024,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,Assistant Chief Counsel,False,False,,151812,177564,,161598,0,0,2860,164458,51243,0,0,19605,70848,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,Assistant Chief Counsel,False,False,,151812,177564,,154702,0,0,2860,157562,49850,0,0,24228,74078,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,Assistant Chief Counsel,False,False,,151812,177564,,152516,0,0,4310,156826,47931,0,0,19383,67314,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,Chief Actuary Department of Insurance C.E.A.,False,False,,157464,177756,,154933,0,0,1300,156233,47717,0,0,12608,60325,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,Assistant Chief Counsel,False,False,,151812,177564,,153993,0,0,374,154367,47705,0,0,5151,52856,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"Attorney IV, Range A",False,False,,125436,161052,,148786,0,0,4726,153512,47048,0,0,11012,58060,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"Attorney IV, Range A",False,False,,125436,161052,,153299,0,0,0,153299,46477,0,0,5083,51560,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"Attorney IV, Range A",False,False,,125436,161052,,149870,0,0,2860,152730,46477,0,0,18699,65177,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"Attorney IV, Range A",False,False,,125436,161052,,147850,0,0,2860,150710,46477,0,0,10983,57461,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"Attorney IV, Range A",False,False,,125436,161052,,146933,0,0,3010,149943,46477,0,0,10983,57461,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"Attorney IV, Range A",False,False,,125436,161052,,145467,0,0,2950,148417,45760,0,0,23332,69092,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"C.E.A., Range B",False,False,,89304,210156,,135859,0,0,11699,147558,45889,0,0,24877,70766,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"Attorney IV, Range A",False,False,,125436,161052,,141924,0,0,2860,144784,43751,0,0,10790,54542,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"Chief Deputy Director, Department of Managed Health Care",False,False,,147576,164376,,111318,0,32965,0,144283,35025,0,0,7528,42553,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"Attorney IV, Range A",False,False,,125436,161052,,141390,0,0,2860,144250,44669,0,0,23259,67928,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"Attorney IV, Range A",False,False,,125436,161052,,138869,0,0,5366,144235,44132,0,0,10804,54936,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"Attorney IV, Range A",False,False,,125436,161052,,140050,0,0,2907,142957,43919,0,0,23208,67127,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"Senior Life Actuary, Range A",False,False,,123852,155052,,138375,0,0,1300,139675,42114,0,0,9996,52110,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,Assistant Chief Counsel,False,False,,151812,177564,,130601,0,0,8934,139535,42556,0,0,23413,65969,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"Attorney III, Range A",False,False,,113556,145680,,135860,0,0,3050,138910,42041,0,0,10688,52729,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Managed Health Care, Department of",,"C.E.A., Range B",False,False,,89304,210156,,136339,0,0,1342,137682,42737,0,0,22747,65485,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
