Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,State Department,"Public Health, California Department of",,"C.E.A., Range 4",False,False,,74076,165384,,17398,0,277324,0,294721,3966,0,0,3356,7322,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Public Health, California Department of",,"Director, California Department Of Public Health",False,False,,222000,228660,,212601,0,0,0,212601,45526,0,0,17396,62922,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Public Health, California Department of",,"Public Health Medical Administrator I, Range C",False,False,,143436,167340,,166650,0,34666,0,201316,36140,0,0,14566,50706,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Public Health, California Department of",,"Public Health Medical Administrator I, Range C",False,False,,143436,167340,,171926,0,0,0,171926,36208,0,0,6944,43152,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Public Health, California Department of",,"Chief Of The Office Of Aids, California Department Of Publichealth",False,False,,173964,179184,,156045,0,0,7484,163529,33674,0,0,17396,51071,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Public Health, California Department of",,Staff Services Manager III,False,False,,81348,92376,,55896,0,104793,0,160690,11655,0,0,4630,16285,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Public Health, California Department of",,"Chief, Food And Drug Branch",False,False,,102300,121980,,11548,0,148357,0,159905,3479,0,0,1129,4608,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Public Health, California Department of",,Attorney IV,False,False,,101832,130752,,126651,0,32300,250,159201,27203,0,0,13971,41174,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Public Health, California Department of",,"Public Health Medical Administrator I, Range C",False,False,,143436,167340,,158641,0,0,0,158641,33382,0,0,6944,40326,1.25% @ 65,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Public Health, California Department of",,"Public Health Medical Officer III -Epidemiology-, Range T",False,False,,118392,159360,,148818,0,0,8246,157063,31728,0,0,17396,49124,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Public Health, California Department of",,"Public Health Medical Administrator I, Range C",False,False,,143436,167340,,156840,0,0,104,156944,33382,0,0,13424,46806,1.25% @ 65,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Public Health, California Department of",,"Public Health Medical Administrator II, C.E.A., Range C",False,False,,140616,169032,,156897,0,0,0,156897,33654,0,0,17396,51051,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Public Health, California Department of",,"Public Health Medical Administrator I, Range C",False,False,,143436,167340,,155684,0,0,60,155744,33317,0,0,17396,50714,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
