Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,State Department,"Child Support Services, Department of",,Director/Department of Child Support Services,False,False,,153954,166500,,164019,0,0,6907,170925,41934,0,0,2905,44839,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Child Support Services, Department of",,Staff Services Manager III,False,False,,87612,99468,,102057,0,44318,3714,150090,27268,0,0,21079,48347,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Child Support Services, Department of",,"Deputy Director and Chief Counsel, Office of Legal Services",False,False,,150276,154776,,146186,0,0,0,146186,38980,0,0,14996,53977,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Child Support Services, Department of",,"Chief Deputy Director, Department of Child Support Services",False,False,,126060,140400,,130392,0,0,5242,135635,35360,0,0,19460,54820,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Child Support Services, Department of",,Assistant Chief Counsel,False,False,,135288,158256,,129277,0,0,3044,132321,34761,0,0,7748,42510,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Child Support Services, Department of",,"C.E.A., Range B",False,False,,79764,181548,,127586,0,0,4721,132307,32167,0,0,16112,48279,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Child Support Services, Department of",,"C.E.A., Range B",False,False,,79764,181548,,125710,0,0,3705,129415,33318,0,0,19460,52778,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Child Support Services, Department of",,"C.E.A., Range B",False,False,,79764,181548,,128620,0,0,246,128865,33754,0,0,19460,53214,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Child Support Services, Department of",,Assistant Chief Counsel,False,False,,135288,158256,,126471,0,0,0,126471,32236,0,0,1984,34220,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Child Support Services, Department of",,Data Processing Manager IV,False,False,,101124,120588,,116878,0,0,4300,121178,29706,0,0,1984,31690,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
