Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2011,State Department,"Resources Recycling and Recovery, Department of",,Recycling Program Manager I,,,,70344,84960,,59489,0,71926,0,131416,11013,0,0,4616,15629,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,Supervising Integrated Waste Management Specialist II,,,,75300,90900,,90099,0,35120,0,125219,16481,0,0,8577,25058,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,Supervising Integrated Waste Management Specialist II,,,,75300,90900,,76520,0,46827,16,123364,14434,0,0,15416,29850,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,"C.E.A., Range 4",,,,74076,160572,,116077,0,0,6,116083,20557,0,0,1984,22541,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,Senior Integrated Waste Management Specialist,,,,65340,78900,,64324,0,51012,0,115336,11964,0,0,10424,22388,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,Staff Services Manager I,,,,60948,73524,,114852,0,0,24,114876,20800,0,0,3580,24380,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,"Chief Counsel, Department Of Resources, Recycling And Recovery",,,,123564,135000,,114075,0,0,0,114075,21297,0,0,15416,36713,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,"C.E.A., Range 3",,,,74076,160572,,112407,0,0,0,112407,19988,0,0,3580,23568,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,Supervising Waste Management Engineer,,,,97164,118104,,107668,0,0,0,107668,20356,0,0,11852,32208,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,"Attorney III, Range A",,,,92184,113736,,106842,0,0,0,106842,18889,0,0,1984,20873,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,"Attorney III, Range A",,,,92184,113736,,106842,0,0,0,106842,18889,0,0,1984,20873,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,"Senior Waste Management Engineer, Range A",,,,97464,118440,,106143,0,0,0,106143,19670,0,0,6126,25796,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,Supervising Attorney,,,,92232,113808,,104580,0,0,0,104580,19615,0,0,15416,35032,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,Research Manager II -General-,,,,66912,80724,,81047,0,22409,0,103456,15080,0,0,8577,23657,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,"C.E.A., Range 3",,,,74076,160572,,101960,0,0,0,101960,19599,0,0,15416,35015,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,"Attorney III, Range A",,,,92184,113736,,101201,0,0,6,101207,18889,0,0,14284,33173,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,"Senior Waste Management Engineer, Range S",,,,88524,107580,,100868,0,0,0,100868,18542,0,0,11852,30394,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,"Attorney III, Range A",,,,92184,113736,,100668,0,0,0,100668,18889,0,0,10932,29821,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,"Attorney III, Range A",,,,92184,113736,,100667,0,0,0,100667,18689,0,0,1984,20673,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,Integrated Waste Program Manager,,,,96072,105960,,100612,0,0,6,100618,18263,0,0,15416,33679,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Resources Recycling and Recovery, Department of",,"Attorney III, Range A",,,,92184,113736,,88189,0,0,12186,100375,19085,0,0,5632,24718,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
