Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,State Department,"Education, Department of",,Computer Science Coordinator,False,False,,109812,122328,,160772,0,70731,2600,234104,26646,0,0,3669,30315,State Teachers Retirement System,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,General Counsel,False,False,,163896,226200,,104331,0,119813,1820,225964,32215,0,0,12028,44243,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,Executive Director of the State Board of Education/Department of Education,False,False,,220548,227160,,202929,0,0,1316,204244,42411,0,0,24314,66725,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,Education Research and Evaluation Administrator I,False,False,,101004,126504,,52635,0,141248,1300,195183,16128,0,0,9975,26103,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,General Counsel,False,False,,163896,226200,,190874,0,0,2600,193474,57848,0,0,18841,76689,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",Diagnostic Center/North CA,"Physician and Surgeon, Range D",False,False,,141156,213000,,181985,0,0,9589,191574,54627,0,0,9674,64301,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,Deputy Superintendent of Strategy,False,False,,163896,219720,,185165,0,0,4800,189965,41851,0,0,19133,60984,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,Chief Counsel II C.E.A.,False,False,,176448,206388,,188520,0,0,0,188520,55603,0,0,5035,60638,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",School For The Deaf/Riverside,"Site Superintendent, School for the Deaf",False,False,,133536,167172,,157642,0,0,21138,178780,41304,0,0,4092,45396,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",School For The Deaf/Fremont,"Site Superintendent, School for the Deaf",False,False,,133536,167172,,155523,0,0,22620,178143,48411,0,0,24862,73273,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,"Chief Counsel II, State Board of Education",False,False,,180204,206388,,172384,0,0,3120,175504,51843,0,0,11388,63231,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",Diagnostic Center/Central CA,"Physician and Surgeon, Range D",False,False,,141156,213000,,170670,0,0,2500,173170,52524,0,0,21882,74406,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,"Deputy Superintendent, Teaching and Learning Support Branch",False,False,,161400,179832,,163236,0,0,9766,173002,48671,0,0,4739,53410,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,Chief Counsel II C.E.A.,False,False,,176448,206388,,171124,0,0,1820,172944,51779,0,0,10842,62621,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,Deputy Superintendent,False,False,,161400,179832,,160483,0,0,10042,170525,50922,0,0,23694,74616,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,Deputy Superintendent,False,False,,212316,212316,,167751,0,0,1923,169675,35613,0,0,15867,51480,State Teachers Retirement System,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,Superintendent of Public Instruction/Department of Education,True,False,,189841,189841,,167440,0,0,0,167440,0,0,0,20704,20704,,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,"C.E.A., Range A",False,False,,93372,226200,,114051,0,48866,3120,166037,34216,0,0,4659,38875,1.25% @ 65,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,"Attorney IV, Range A",False,False,,132240,169788,,150491,0,0,8014,158505,45743,0,0,17752,63495,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,Division Director,False,False,,161400,179832,,154112,0,0,3120,157232,45966,0,0,10830,56796,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,"Attorney IV, Range A",False,False,,132240,169788,,148456,0,0,8014,156470,45743,0,0,22312,68055,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,"Attorney IV, Range A",False,False,,132240,169788,,156205,0,0,0,156205,45743,0,0,4984,50727,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",School For The Blind,"Site Superintendent, School for the Blind",False,False,,133536,167172,,152585,0,0,3120,155705,47708,0,0,24799,72506,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",School For The Blind,"Supervising Teacher II, School for the Blind, Fiscal Year",False,False,,114780,158316,,147235,0,0,8195,155429,45311,0,0,24593,69904,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",School For The Deaf/Fremont,"Supervising Teacher III, School for the Deaf, Fiscal Year",False,False,,117624,162312,,152089,0,0,3120,155209,46602,0,0,20877,67479,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",School For The Deaf/Fremont,"Supervising Teacher III, School for the Deaf, Fiscal Year",False,False,,117624,162312,,151246,0,0,3345,154591,46602,0,0,24707,71309,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,"Education Programs Consultant, Range A",False,False,,88248,110460,,98287,0,53138,3120,154545,29895,0,0,10428,40323,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,"Senior Policy Advisor, State Board of Education",False,False,,161400,179832,,151016,0,0,3120,154136,41108,0,0,11002,52110,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,Education Administrator I,False,False,,101004,126504,,134650,0,0,17988,152638,23955,0,0,3699,27654,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,"Education Programs Consultant, Range A",False,False,,88248,110460,,97220,0,51883,3120,152223,18308,0,0,19472,37781,State Teachers Retirement System,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",School For The Blind,"Supervising Teacher II, School for the Blind, Fiscal Year",False,False,,114780,158316,,148628,0,0,3120,151748,45311,0,0,19997,65308,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Education, Department of",,"Attorney IV, Range A",False,False,,132240,169788,,149724,0,0,1820,151544,45743,0,0,10096,55839,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
