Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,State Department,Emergency Medical Services Authority,,"Director, Emergency Medical Services Authority",False,False,,178716,184080,,172217,0,0,251,172468,36650,0,0,17396,54046,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Chief Deputy Director, Emergency Medical Services Authority",False,False,,107712,120000,,112961,0,0,0,112961,23811,0,0,6944,30755,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Administrative Adviser II C.E.A.,False,False,,104616,121188,,112559,0,0,0,112559,24129,0,0,17396,41525,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Health Program Manager III,False,False,,81348,92376,,35070,0,59182,100,94352,3600,213,0,1450,5263,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Senior Programmer Analyst (Supervisor),False,False,,70200,92268,,87115,0,0,0,87115,18406,0,0,6944,25350,1.25% @ 65,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Health Program Manager III,False,False,,81348,92376,,86419,0,0,0,86419,18392,0,0,6944,25337,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Senior Emergency Services Coordinator, Office Of Emergency Services",False,False,,59532,74004,,66831,16420,0,0,83251,12517,0,0,16844,29362,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Staff Services Manager II (Supervisory),False,False,,66912,83148,,79618,0,0,0,79618,16586,0,0,2363,18949,1.25% @ 65,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Supervising Special Investigator I (Non-Peace Officer),False,False,,64428,80064,,78314,0,0,0,78314,15941,0,0,1984,17925,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Staff Programmer Analyst (Specialist), Range A",False,False,,60780,79920,,76392,0,0,0,76392,15912,0,0,124,16036,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Staff Programmer Analyst (Specialist), Range A",False,False,,60780,79920,,75318,0,0,0,75318,15912,0,0,6552,22464,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Staff Information Systems Analyst (Specialist), Range A",False,False,,60780,79920,,74093,1066,0,0,75159,15912,0,0,13292,29204,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Health Program Manager II,False,False,,66912,83148,,75070,0,0,24,75094,16554,0,0,13424,29979,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Health Program Manager II,False,False,,66912,83148,,74786,0,0,0,74786,15995,0,0,13424,29420,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Health Program Manager II,False,False,,66912,83148,,74671,0,0,0,74671,16053,0,0,17396,33449,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Staff Information Systems Analyst (Specialist), Range A",False,False,,60780,79920,,73876,0,0,0,73876,15912,0,0,6552,22464,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"C.E.A., Range A",False,False,,74076,165384,,72898,92,0,386,73376,16007,0,0,13424,29431,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Health Program Manager I,False,False,,60948,75732,,72140,0,0,24,72164,15078,0,0,6944,22022,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Staff Information Systems Analyst (Specialist), Range A",False,False,,60780,79920,,70190,1139,0,0,71328,15170,0,0,12241,27410,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Health Program Specialist I,False,False,,57996,72600,,70842,186,0,0,71028,14455,0,0,2045,16500,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Staff Services Manager I,False,False,,60948,75732,,68503,1010,0,0,69513,13713,0,0,1984,15697,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Staff Services Manager I,False,False,,60948,75732,,69408,0,0,0,69408,15000,0,0,13424,28424,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Health Program Manager I,False,False,,60948,75732,,69026,0,0,0,69026,15078,0,0,13424,28502,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Health Program Specialist I,False,False,,57996,72600,,67525,802,0,0,68327,13819,0,0,2924,16743,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Staff Services Manager I,False,False,,60948,75732,,67705,0,0,0,67705,13699,0,0,1984,15683,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Health Program Specialist I,False,False,,57996,72600,,66249,1270,0,0,67520,12698,0,0,1804,14502,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Senior Emergency Services Coordinator, Office Of Emergency Services",False,False,,59532,74004,,66101,1105,0,0,67206,13464,0,0,12896,26361,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Health Program Specialist II,False,False,,63708,79740,,66457,0,0,0,66457,14814,0,0,16844,31659,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Staff Services Manager I,False,False,,60948,75732,,65783,0,0,0,65783,14449,0,0,17396,31845,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Health Program Specialist II,False,False,,63708,79740,,65214,0,0,0,65214,14161,0,0,16448,30609,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Special Investigator, Range C",False,False,,58656,72912,,63651,572,0,24,64247,12333,0,0,16844,29177,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,62093,0,2066,0,64159,13160,0,0,6552,19713,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Special Investigator, Range C",False,False,,58656,72912,,63504,0,0,0,63504,11756,0,0,16844,28600,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Health Program Specialist I,False,False,,57996,72600,,63281,0,0,0,63281,13412,0,0,6552,19964,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Health Program Specialist I,False,False,,57996,72600,,62700,0,0,0,62700,13808,0,0,2906,16714,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Special Investigator, Range C",False,False,,58656,72912,,60433,0,0,24,60457,11487,0,0,12896,24384,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Associate Health Program Adviser,False,False,,52800,66096,,60262,0,0,0,60262,13186,0,0,16844,30030,1.25% @ 65,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Special Investigator, Range C",False,False,,58656,72912,,59413,0,0,18,59431,10776,0,0,6548,17324,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Staff Services Manager I,False,False,,60948,75732,,58647,0,0,0,58647,12968,0,0,17350,30318,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,57186,0,0,0,57186,13160,0,0,16844,30004,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Special Investigator, Range B",False,False,,53448,66288,,56883,0,0,0,56883,11126,0,0,16844,27970,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Associate Governmental Program Analyst, Range L",False,False,,52800,66096,,56180,0,0,579,56759,12704,0,0,13424,26128,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Senior Emergency Services Coordinator, Office Of Emergency Services",False,False,,59532,74004,,48369,8271,0,115,56754,10015,0,0,16844,26859,2.50% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,56014,0,0,0,56014,12482,0,0,16844,29326,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,55349,0,0,48,55397,12510,0,0,12896,25407,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,54323,0,0,0,54323,11097,0,0,5195,16292,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,54313,0,0,0,54313,8937,0,0,6277,15214,2.00% @ 60,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Associate Health Program Adviser,False,False,,52800,66096,,53627,0,0,0,53627,11603,0,0,6552,18155,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Health Program Specialist I,False,False,,57996,72600,,44245,0,7367,0,51612,9324,0,0,4368,13692,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,"Special Investigator, Range B",False,False,,53448,66288,,50349,0,0,0,50349,9042,0,0,6548,15590,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Emergency Medical Services Authority,,Associate Health Program Adviser,False,False,,52800,66096,,50092,0,0,0,50092,10828,0,0,8158,18986,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
