Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2018,State Department,Employment Development Department,,Director/Employment Development Dept,False,False,,166517,197947,,189057,0,0,13168,202225,54218,0,0,3951,58169,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"C.E.A., Range C",False,False,,86280,200148,,187224,0,0,7098,194322,54647,0,0,8744,63391,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Presiding Administrative Law Judge, Unemployment Insurance Appeals Board",False,False,,118800,149496,,153853,0,0,11418,165270,45901,0,0,3442,49343,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,,Assistant Chief Counsel,False,False,,147744,172812,,165089,0,0,0,165089,48717,0,0,16917,65633,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Presiding Administrative Law Judge, Unemployment Insurance Appeals Board",False,False,,118800,149496,,150543,0,0,10817,161361,45835,0,0,9400,55234,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Employment Training Panel,"Executive Director, Employment Training Panel/Employment Development Department",False,False,,142584,158820,,148801,0,0,10807,159608,43940,0,0,15808,59747,2.00% @ 60,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Presiding Administrative Law Judge, Unemployment Insurance Appeals Board",False,False,,118800,149496,,153466,0,0,5612,159078,45847,0,0,4862,50709,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Presiding Administrative Law Judge, Unemployment Insurance Appeals Board",False,False,,118800,149496,,150713,0,0,5612,156325,45847,0,0,9400,55247,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Presiding Administrative Law Judge, Unemployment Insurance Appeals Board",False,False,,118800,149496,,150554,0,0,5612,156166,45847,0,0,9400,55247,1.25% @ 65,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Presiding Administrative Law Judge, Unemployment Insurance Appeals Board",False,False,,118800,149496,,150216,0,0,5635,155851,45847,0,0,9400,55247,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,,Chief Deputy Director/Employment Development Dept,False,False,,149160,166188,,155392,0,0,53,155445,44704,0,0,3861,48565,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,,"C.E.A., Range C",False,False,,86280,200148,,148459,0,0,6652,155111,42696,0,0,4631,47327,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,,Information Technology Manager I,False,False,,88512,118608,,87261,0,61952,4386,153599,24825,0,0,1891,26716,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Presiding Administrative Law Judge, Unemployment Insurance Appeals Board",False,False,,118800,149496,,147806,0,0,5612,153418,45847,0,0,21340,67187,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Chair, California Unemployment Insurance Appeals Board",False,False,,158573,158573,,153201,0,0,0,153201,44703,0,0,8399,53102,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Presiding Administrative Law Judge, Unemployment Insurance Appeals Board",False,False,,118800,149496,,147253,0,0,5612,152865,45847,0,0,21340,67187,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Presiding Administrative Law Judge, Unemployment Insurance Appeals Board",False,False,,118800,149496,,147200,0,0,5612,152812,45847,0,0,16816,62663,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Presiding Administrative Law Judge, Unemployment Insurance Appeals Board",False,False,,118800,149496,,146716,0,0,5612,152328,45901,0,0,21340,67241,1.25% @ 65,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Member, California Unemployment Insurance Appeals Board, Edd",False,False,,153690,153690,,146634,0,0,5684,152318,43326,0,0,15802,59128,1.25% @ 65,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,,Assistant Chief Counsel,False,False,,147744,172812,,152119,0,0,23,152142,44777,0,0,8860,53638,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,146564,0,0,5524,152088,42109,0,0,3301,45411,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,146564,0,0,5524,152088,42109,0,0,3301,45411,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,CA Workforce Investment Boar,"Chief Deputy Director, California Workforce Development Board",False,False,,122796,136800,,142682,0,9079,0,151760,42089,0,0,9123,51212,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Presiding Administrative Law Judge, Unemployment Insurance Appeals Board",False,False,,118800,149496,,151335,0,0,0,151335,44482,0,0,8717,53198,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Presiding Administrative Law Judge, Unemployment Insurance Appeals Board",False,False,,118800,149496,,144267,0,0,5612,149879,45847,0,0,21340,67187,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Presiding Administrative Law Judge, Unemployment Insurance Appeals Board",False,False,,118800,149496,,143553,0,0,5820,149373,45874,0,0,21320,67194,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Presiding Administrative Law Judge, Unemployment Insurance Appeals Board",False,False,,118800,149496,,149030,0,0,0,149030,42841,0,0,3326,46167,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,146158,0,0,2762,148920,42109,0,0,4066,46176,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Presiding Administrative Law Judge, Unemployment Insurance Appeals Board",False,False,,118800,149496,,148789,0,0,0,148789,43875,0,0,9236,53111,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,,"C.E.A., Range C",False,False,,86280,200148,,142954,0,0,5632,148586,42696,0,0,20522,63218,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,142840,0,0,5524,148364,42109,0,0,8850,50959,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,142474,0,0,5524,147998,42109,0,0,8850,50959,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,142654,0,5163,0,147817,42109,0,0,8850,50959,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,141964,0,0,5524,147488,42109,0,0,8850,50959,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,146564,0,0,21,146585,42109,0,0,3301,45411,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,146564,0,0,0,146564,42109,0,0,3301,45411,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,146564,0,0,0,146564,42109,0,0,3301,45411,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,146264,0,0,0,146264,42109,0,0,4541,46650,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,146264,0,0,0,146264,42109,0,0,4066,46176,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,146158,0,0,0,146158,42109,0,0,3611,45721,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,144704,0,0,1395,146099,42109,0,0,2836,44946,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,145952,0,0,0,145952,42109,0,0,3301,45411,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,145952,0,0,0,145952,42109,0,0,3301,45411,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,140276,0,0,5573,145849,42109,0,0,16134,58243,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,142894,0,0,2762,145656,42109,0,0,8850,50959,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,CA Workforce Investment Boar,"Executive Director, California Workforce Investment Board",False,False,,142584,158820,,145438,0,0,0,145438,43355,0,0,18336,61691,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,139684,0,0,5524,145208,42109,0,0,20646,62755,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,,"C.E.A., Range C",False,False,,86280,200148,,142214,0,0,2801,145014,42696,0,0,20522,63218,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,139360,0,0,5570,144930,42308,0,0,20651,62960,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,,"Tax Administrator III, Employment Development Department",False,False,,101340,120840,,115076,0,25458,4382,144916,32767,0,0,2467,35234,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,139379,0,0,5524,144903,42109,0,0,20654,62763,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,144704,0,0,0,144704,42109,0,0,3072,45181,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,,"C.E.A., Range B",False,False,,86280,200148,,139408,0,0,5292,144700,40041,0,0,2556,42597,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Administrative Law Judge II, Unemployment Insurance Appeals Board, Range A",False,False,,113028,142260,,141895,0,0,2762,144657,42109,0,0,8850,50959,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,,"Attorney III, Range A",False,False,,110520,141780,,138713,0,0,5244,143957,39970,0,0,3235,43204,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,Employment Development Department,Unemployment Insurance Appeal,"Member, California Unemployment Insurance Appeals Board, Edd",False,False,,153690,153690,,143884,0,0,0,143884,43326,0,0,9004,52330,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
