Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2011,State Department,"Environmental Health Hazard Assessment, Office of",,"Public Health Medical Officer III, Range C",,,,115440,158388,,140437,0,0,0,140437,25716,0,0,11372,37088,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,"Public Health Medical Officer II, Range C",,,,112776,154728,,139667,0,0,0,139667,25605,0,0,5804,31409,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,"C.E.A., Range 1",,,,74076,160572,,104869,0,30753,0,135621,19315,0,0,12881,32196,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,"Public Health Medical Officer III, Range C",,,,115440,158388,,126754,0,0,0,126754,23588,0,0,14912,38501,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,"Chief Counsel I, C.E.A.",,,,110184,123924,,113035,0,0,0,113035,20842,0,0,15416,36258,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,"C.E.A., Range 4",,,,74076,160572,,107955,0,0,0,107955,19584,0,0,15416,35001,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,"C.E.A., Range 3",,,,74076,160572,,104060,0,0,41,104101,19696,0,0,15416,35112,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,Staff Toxicologist (Specialist),,,,76848,92964,,77770,0,24457,0,102227,14157,0,0,5082,19239,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,Supervising Toxicologist (Managerial),,,,93696,103296,,96280,0,0,0,96280,17804,0,0,6140,23944,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,Supervising Toxicologist (Managerial),,,,93696,103296,,95317,0,0,0,95317,17804,0,0,11852,29656,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,Supervising Toxicologist (Managerial),,,,93696,103296,,95110,0,0,23,95133,17804,0,0,15119,32923,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,Supervising Toxicologist (Managerial),,,,93696,103296,,93545,0,0,0,93545,17804,0,0,15416,33220,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,Senior Toxicologist,,,,80796,97692,,91399,0,0,0,91399,16838,0,0,11852,28690,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,Research Scientist Supervisor I (Chemical Sciences),,,,76908,93036,,90374,0,0,194,90568,16035,0,0,1984,18019,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,Senior Toxicologist,,,,80796,97692,,90504,0,0,0,90504,16838,0,0,15416,32254,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,Senior Toxicologist,,,,80796,97692,,90362,0,0,18,90380,16838,0,0,6140,22978,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,Senior Toxicologist,,,,80796,97692,,90263,0,0,42,90305,16838,0,0,11852,28690,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,Senior Toxicologist,,,,80796,97692,,90245,0,0,0,90245,16838,0,0,15416,32254,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,Staff Toxicologist (Specialist),,,,76848,92964,,84632,4210,0,624,89466,15549,0,0,5802,21350,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,Staff Toxicologist (Specialist),,,,76848,92964,,81475,0,0,7719,89194,15439,0,0,11372,26811,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Environmental Health Hazard Assessment, Office of",,Senior Toxicologist,,,,80796,97692,,88243,0,0,0,88243,16838,0,0,15119,31957,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
