Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2017,State Department,Fair Political Practices Commission,,"Chief Counsel I, C.E.A.",False,False,,149124,174456,,151199,0,26370,0,177569,42810,0,0,7509,50319,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,Supervising Special Investigator II (Non-Peace Officer),False,False,,80628,100248,,72884,0,99452,3836,176172,20490,0,0,14796,35285,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,Executive Director/Fair Political Practices Commission,False,False,,152184,173844,,162649,0,0,0,162649,46651,0,0,19424,66075,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,"C.E.A., Range B",False,False,,82956,190620,,158689,0,0,0,158689,44457,0,0,19424,63882,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,Chairman/Fair Political Practices Commission,False,False,,152474,152474,,146076,0,0,2820,148896,40916,0,0,7736,48652,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,"C.E.A., Range B",False,False,,82956,190620,,145843,0,0,2783,148626,41666,0,0,19130,60797,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,Assistant Chief Counsel,False,False,,142056,166164,,144186,0,0,0,144186,40564,0,0,19780,60344,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,"Attorney IV, Range A",False,False,,117384,150720,,136276,0,0,26,136303,39663,0,0,19187,58850,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,"Attorney IV, Range A",False,False,,117384,150720,,136291,0,0,0,136291,40230,0,0,19188,59418,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,"Senior Commission Counsel (Specialist), Fair Political Practices Commission",False,False,,106272,136332,,132207,0,0,0,132207,36389,0,0,2302,38692,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,"Senior Commission Counsel (Specialist), Fair Political Practices Commission",False,False,,106272,136332,,123705,0,2199,0,125903,35640,0,0,2530,38170,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,"C.E.A., Range B",False,False,,82956,190620,,120833,0,0,4485,125318,33118,0,0,1984,35102,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,"Senior Commission Counsel (Specialist), Fair Political Practices Commission",False,False,,106272,136332,,122713,0,0,0,122713,33275,0,0,2278,35553,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,Assistant Chief Counsel,False,False,,142056,166164,,120571,0,0,0,120571,34829,0,0,19245,54074,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,"Senior Commission Counsel (Specialist), Fair Political Practices Commission",False,False,,106272,136332,,120128,0,0,23,120151,33782,0,0,7589,41371,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,"Senior Commission Counsel (Specialist), Fair Political Practices Commission",False,False,,106272,136332,,107764,0,0,-285,107480,30526,0,0,7561,38087,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,"Program Specialist II, Franchise Tax Board",False,False,,76344,100368,,93932,0,0,2500,96432,26218,0,0,7297,33515,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,Supervising Management Auditor,False,False,,91116,108624,,91800,0,0,3642,95441,26424,0,0,19424,45848,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,Staff Services Manager III,False,False,,91116,103452,,93626,0,0,1112,94738,25977,0,0,7736,33713,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,Data Processing Manager II,False,False,,78600,103320,,89886,0,0,3390,93277,26887,0,0,14809,41696,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,"C.E.A., Range B",False,False,,82956,190620,,87095,0,5657,0,92752,24205,0,0,11331,35535,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,Staff Services Manager III,False,False,,91116,103452,,90261,0,0,0,90261,26818,0,0,19424,46243,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Fair Political Practices Commission,,Staff Services Manager II (Supervisory),False,False,,74940,93120,,89865,0,0,0,89865,24989,0,0,7736,32725,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
