Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,"Finance, Department of",,"C.E.A., Range B",False,False,,77436,172908,,124946,0,59183,0,184129,31956,0,0,14024,45981,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Finance, Department of",,Director/Department of Finance,False,False,,163976,188451,,181022,0,0,0,181022,45788,0,0,14024,59812,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Finance, Department of",,"C.E.A., Range B",False,False,,77436,172908,,89381,0,84242,2642,176266,22543,0,0,12135,34678,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Finance, Department of",,Chief Deputy Director-Policy/Department of Finance,False,False,,159036,184020,,167896,0,0,0,167896,41131,0,0,1984,43115,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Finance, Department of",,"C.E.A., Range C",False,False,,77436,172908,,163347,0,0,3218,166565,41668,0,0,18200,59868,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Finance, Department of",,Chief Deputy Director-Budget/Department of Finance,False,False,,159420,177744,,162571,0,0,3173,165745,41131,0,0,18200,59331,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Finance, Department of",,"C.E.A., Range C",False,False,,77436,172908,,153611,0,0,4022,157633,38901,0,0,14024,52926,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Finance, Department of",,"C.E.A., Range C",False,False,,77436,172908,,148313,0,0,3080,151392,37987,0,0,18200,56187,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Finance, Department of",,"C.E.A., Range C",False,False,,77436,172908,,147148,0,0,3927,151075,37987,0,0,18200,56187,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Finance, Department of",,"C.E.A., Range C",False,False,,77436,172908,,146002,0,0,2933,148936,37987,0,0,18200,56187,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
