Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2010,State Department,Financial Information System for California,,Data Processing Manager IV,,,,93900,108708,,100211,0,16339,32,116581,19116,0,0,15369,34485,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Financial Information System for California,,Data Processing Manager III,,,,85416,98868,,85112,0,27934,0,113046,15219,0,0,14084,29304,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Financial Information System for California,,"C.E.A., Range 5",,,,74076,160572,,107226,0,0,0,107226,20200,0,0,14084,34284,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Financial Information System for California,,"C.E.A., Range 3",,,,74076,160572,,95580,0,0,0,95580,18195,0,0,10844,29039,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Financial Information System for California,,"Attorney III, Range A",,,,92184,113736,,94276,0,0,0,94276,18025,0,0,9655,27680,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Financial Information System for California,,Data Processing Manager IV,,,,93900,108708,,93355,0,0,261,93616,17260,0,0,10844,28105,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Financial Information System for California,,"C.E.A., Range 3",,,,74076,160572,,92740,0,0,351,93090,16887,0,0,1659,18546,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Financial Information System for California,,Data Processing Manager IV,,,,93900,108708,,91041,0,0,0,91041,16281,0,0,3276,19557,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Financial Information System for California,,"C.E.A., Range 3",,,,74076,160572,,88503,0,0,0,88503,16968,0,0,14084,31052,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Financial Information System for California,,Data Processing Manager III,,,,85416,98868,,85222,0,0,0,85222,15820,0,0,14084,29904,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Financial Information System for California,,Data Processing Manager IV,,,,93900,108708,,83512,0,0,24,83536,0,0,0,5636,5636,Alternate Retirement Plan (ARP),https://www.calhr.ca.gov,,07/01/2014,,,,
