Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,Financial Information System for California,,Executive Partner,False,False,,166596,166596,,108318,0,103992,0,212311,26744,0,0,5451,32195,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Financial Information System for California,,Executive Partner,False,False,,166596,166596,,165783,0,0,0,165783,40477,0,0,3370,43847,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Financial Information System for California,,"C.E.A., Range B",False,False,,77436,172908,,90446,0,41930,2342,134718,22633,0,0,10518,33151,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Financial Information System for California,,"C.E.A., Range B",False,False,,77436,172908,,126730,0,0,0,126730,30970,0,0,2980,33949,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Financial Information System for California,,"C.E.A., Range B",False,False,,77436,172908,,126679,0,0,0,126679,30919,0,0,2294,33213,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Financial Information System for California,,"C.E.A., Range C",False,False,,77436,172908,,124299,0,0,0,124299,31106,0,0,18200,49306,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Financial Information System for California,,"C.E.A., Range B",False,False,,77436,172908,,122832,0,0,0,122832,31128,0,0,18200,49329,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Financial Information System for California,,"C.E.A., Range B",False,False,,77436,172908,,119336,0,0,3193,122528,30241,0,0,17504,47745,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Financial Information System for California,,"Attorney III, Range A",False,False,,96384,123660,,117065,0,0,1160,118225,30046,0,0,13496,43543,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Financial Information System for California,,Data Processing Manager IV,False,False,,98184,117072,,113118,0,0,1194,114312,28445,0,0,7268,35713,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Financial Information System for California,,Data Processing Manager IV,False,False,,98184,117072,,108717,0,0,-509,108208,27794,0,0,18200,45995,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
