Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,154182,0,65552,473,220208,46947,0,0,23142,70089,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,62113,0,150816,5275,218205,18591,0,0,6937,25528,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,143666,0,58195,5658,207520,43391,0,0,22980,66371,1.25% @ 65,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Fish and Game Lieutenant (Supervisor),False,False,,64764,88128,,97512,28856,50783,7015,184166,46626,0,0,17440,64066,3.00% @ 50,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Supervising Hydraulic Engineer,False,False,,123768,154944,,154979,0,27794,-154,182620,46073,0,0,17777,63849,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"Director,Department of Fish & Wildlife",False,False,,166517,189091,,179072,0,0,37,179109,53306,0,0,20421,73727,2.00% @ 60,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"C.E.A., Range B",False,False,,86280,200148,,163095,0,0,6361,169456,48484,0,0,20604,69088,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"General Counsel, Department of Fish and Wildlife",False,False,,159012,177144,,161638,0,0,6338,167975,48312,0,0,20373,68685,2.00% @ 60,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Assistant Chief Counsel,False,False,,147744,172812,,161184,0,0,6391,167575,48717,0,0,21441,70157,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,130923,0,30648,5658,167229,39297,0,0,15493,54790,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Assistant Chief Counsel,False,False,,147744,172812,,160859,0,0,6070,166928,46268,0,0,3427,49695,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Fish and Game Lieutenant (Specialist),False,False,,63756,85872,,87783,6216,66163,5793,165954,42336,0,0,19096,61432,3.00% @ 50,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager II,False,False,,143520,163044,,115930,0,41646,6001,163577,33877,0,0,7085,40962,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Assistant Chief Counsel,False,False,,147744,172812,,163066,0,0,60,163126,48717,0,0,21441,70157,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"C.E.A., Range A",False,False,,86280,200148,,154505,0,8143,0,162648,44170,0,0,2639,46809,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Assistant Chief Counsel,False,False,,147744,172812,,154309,0,0,6070,160378,46268,0,0,21364,67632,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"Program Manager III, California Bay-Delta Authority",False,False,,143520,163044,,154083,0,0,6001,160084,45839,0,0,16848,62688,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"C.E.A., Range A",False,False,,86280,200148,,158330,0,0,1296,159627,46619,0,0,8631,55250,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"C.E.A., Range A",False,False,,86280,200148,,152810,0,0,6081,158890,46176,0,0,20571,66748,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"C.E.A., Range A",False,False,,86280,200148,,152916,0,0,5942,158859,45604,0,0,20565,66170,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager II,False,False,,143520,163044,,152672,0,0,6001,158672,45839,0,0,16848,62688,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"C.E.A., Range A",False,False,,86280,200148,,157923,0,0,0,157923,46254,0,0,8631,54885,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Fish and Game Lieutenant (Specialist),False,False,,63756,85872,,86710,0,53682,16911,157303,45942,0,0,4046,49989,3.00% @ 50,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"C.E.A., Range A",False,False,,86280,200148,,150127,0,0,6992,157119,45112,0,0,20821,65933,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"C.E.A., Range B",False,False,,86280,200148,,157099,0,0,0,157099,45223,0,0,3074,48298,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,149709,0,0,7311,157020,43505,0,0,4816,48321,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"C.E.A., Range A",False,False,,86280,200148,,155328,0,0,0,155328,46176,0,0,16047,62224,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,146692,0,0,8312,155004,43463,0,0,16375,59838,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"C.E.A., Range A",False,False,,86280,200148,,154784,0,0,0,154784,46176,0,0,20571,66748,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"C.E.A., Range B",False,False,,86280,200148,,154812,0,0,-413,154399,44962,0,0,5211,50173,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"C.E.A., Range A",False,False,,86280,200148,,154159,0,0,0,154159,46176,0,0,20571,66748,2.00% @ 60,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"Attorney IV, Range A",False,False,,122076,156744,,153601,0,0,0,153601,44188,0,0,3367,47555,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"C.E.A., Range A",False,False,,86280,200148,,153192,0,0,0,153192,45596,0,0,16041,61637,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,142322,0,0,10717,153040,43220,0,0,16765,59986,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,146579,0,0,6299,152878,43407,0,0,9349,52756,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,146624,0,0,5658,152282,43220,0,0,9349,52570,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,146579,0,0,5658,152237,43220,0,0,9349,52570,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"C.E.A., Range A",False,False,,86280,200148,,151248,0,0,7,151255,46176,0,0,20571,66748,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,145291,0,0,5206,150497,43401,0,0,16774,60174,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"Attorney IV, Range A",False,False,,122076,156744,,144537,0,0,5788,150325,43049,0,0,8882,51931,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Senior Environmental Scientist (Supervisory),False,False,,106944,132948,,135415,0,14880,0,150294,40487,0,0,18023,58509,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,150055,0,0,23,150078,43220,0,0,4811,48031,1.25% @ 65,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,150055,0,0,0,150055,43220,0,0,4811,48031,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,150055,0,0,0,150055,43220,0,0,4306,47526,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,149493,0,0,0,149493,43058,0,0,3606,46665,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,143039,0,0,6367,149407,43397,0,0,9358,52755,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,145901,0,0,3460,149361,43392,0,0,21289,64682,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"C.E.A., Range A",False,False,,86280,200148,,148155,0,0,145,148300,46250,0,0,20571,66822,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,148251,0,0,0,148251,43058,0,0,4803,47861,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,147104,0,0,0,147104,43220,0,0,9349,52570,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,146685,0,0,0,146685,43220,0,0,9349,52570,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,145297,0,0,23,145320,43220,0,0,16765,59986,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,"Attorney IV, Range A",False,False,,122076,156744,,144992,0,0,23,145015,44128,0,0,20709,64838,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Fish and Wildlife, Department of",,Environmental Program Manager I (Supervisory),False,False,,123660,153732,,143060,0,0,1836,144895,42973,0,0,21276,64249,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
