Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,State Department,"Food & Agriculture, Department of",,"Attorney III, Range A",False,False,,119712,153576,,150702,0,66899,2080,219680,45887,0,0,11096,56983,1.25% @ 65,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Secretary of Food and Agriculture,False,False,,197674,227179,,201813,0,0,3120,204933,61485,0,0,19718,81203,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Undersecretary/Department of Food and Agriculture,False,False,,172068,198024,,108982,0,71516,2340,182839,36044,0,0,18621,54665,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,"C.E.A., Range B",False,False,,93372,226200,,171695,0,0,10386,182080,53448,0,0,20685,74133,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,"C.E.A., Range B",False,False,,93372,226200,,168074,0,0,10005,178079,50379,0,0,12658,63037,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,"C.E.A., Range B",False,False,,93372,226200,,174558,0,0,3134,177692,53448,0,0,25281,78729,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,"C.E.A., Range A",False,False,,93372,226200,,132192,0,27432,8449,168072,42567,0,0,25908,68475,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager II,False,False,,157584,179016,,159301,0,0,6522,165823,48191,0,0,18845,67036,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager II,False,False,,157584,179016,,165216,0,0,500,165716,48191,0,0,23441,71632,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,"C.E.A., Range B",False,False,,93372,226200,,161604,0,0,3120,164724,50905,0,0,25063,75968,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager II,False,False,,157584,179016,,164708,0,0,0,164708,48191,0,0,4725,52915,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager II,False,False,,157584,179016,,158096,0,0,6522,164617,48191,0,0,23441,71632,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,"C.E.A., Range B",False,False,,93372,226200,,158961,0,0,3120,162081,47395,0,0,4178,51573,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager II,False,False,,157584,179016,,153534,0,0,5400,158934,46897,0,0,23360,70258,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager II,False,False,,157584,179016,,157908,0,0,500,158408,48191,0,0,23441,71632,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager II,False,False,,157584,179016,,157705,0,0,0,157705,48191,0,0,23441,71632,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,150920,0,0,6019,156939,44478,0,0,4834,49312,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,156297,0,0,0,156297,45790,0,0,4924,50714,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,149292,0,0,6149,155441,45438,0,0,18689,64127,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,155408,0,0,0,155408,45438,0,0,4568,50007,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,148795,0,0,6149,154944,45438,0,0,23285,68723,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,149416,0,0,4612,154027,45438,0,0,18689,64127,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,"Deputy Secretary and Chief Counsel, California Department Offood and Agriculture",False,False,,171600,185592,,150351,0,0,2710,153061,37564,0,0,8350,45915,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,147167,0,0,5863,153030,43002,0,0,4409,47411,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager II,False,False,,157584,179016,,152541,0,0,30,152571,41328,0,0,23441,64769,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager II,False,False,,157584,179016,,152220,0,0,300,152520,45508,0,0,10918,56425,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,139543,0,9923,0,149466,43012,0,0,24779,67792,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,149066,0,0,253,149318,45201,0,0,18663,63864,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,143442,0,0,5733,149175,42935,0,0,10750,53685,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,148751,0,0,0,148751,45438,0,0,23285,68723,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,148731,0,0,0,148731,45438,0,0,23285,68723,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,148281,0,0,0,148281,45438,0,0,23285,68723,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager II,False,False,,157584,179016,,146547,0,0,0,146547,46786,0,0,23354,70139,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,146045,0,0,0,146045,45042,0,0,23246,68289,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,145874,0,0,0,145874,45438,0,0,23278,68717,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,"C.E.A., Range B",False,False,,93372,226200,,142499,0,0,3120,145619,43999,0,0,24471,68471,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Research Scientist Manager (Veterinary Sciences),False,False,,145932,165708,,145573,18,0,0,145591,43143,0,0,18525,61668,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,138692,0,0,5726,144419,42506,0,0,23107,65613,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,"C.E.A., Range A",False,False,,93372,226200,,134769,0,0,8057,142826,36319,0,0,23814,60132,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,"C.E.A., Range B",False,False,,93372,226200,,139360,0,0,3120,142480,40693,0,0,3642,44335,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Deputy Secretary for Legislative Affairs,False,False,,139368,155280,,139202,0,0,3120,142322,40815,0,0,10792,51607,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Senior Environmental Scientist (Supervisory),False,False,,117420,145980,,145335,0,0,-3205,142130,42065,0,0,4538,46603,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,141211,0,0,0,141211,42841,0,0,18516,61357,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Senior Environmental Scientist (Supervisory),False,False,,117420,145980,,134450,0,0,5318,139768,39297,0,0,4219,43516,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Senior Environmental Scientist (Supervisory),False,False,,117420,145980,,134026,0,0,5318,139344,39297,0,0,5673,44970,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,"C.E.A., Range B",False,False,,93372,226200,,137230,0,0,2075,139305,42690,0,0,16313,59003,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,138348,0,0,0,138348,42366,0,0,23097,65463,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Senior Environmental Scientist (Supervisory),False,False,,117420,145980,,132401,0,0,5364,137765,39649,0,0,10597,50246,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,137450,0,0,0,137450,41729,0,0,18450,60179,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Environmental Program Manager I (Supervisory),False,False,,135780,168792,,136903,0,0,0,136903,41777,0,0,18442,60219,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Senior Environmental Scientist (Supervisory),False,False,,117420,145980,,131236,0,0,5318,136554,39297,0,0,10576,49873,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Senior Environmental Scientist (Supervisory),False,False,,117420,145980,,130030,0,0,5199,135229,37992,0,0,4123,42115,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Senior Environmental Scientist (Supervisory),False,False,,117420,145980,,134653,0,0,0,134653,39297,0,0,4219,43516,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Senior Environmental Scientist (Supervisory),False,False,,117420,145980,,134653,0,0,0,134653,39297,0,0,4219,43516,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Senior Environmental Scientist (Supervisory),False,False,,117420,145980,,129185,0,0,5318,134503,39297,0,0,10576,49873,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Senior Environmental Scientist (Supervisory),False,False,,117420,145980,,129078,0,0,5318,134395,39297,0,0,22936,62233,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Food & Agriculture, Department of",,Senior Environmental Scientist (Supervisory),False,False,,117420,145980,,129043,0,0,5318,134361,39297,0,0,18340,57637,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
