Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,"Fire Captain, Range A",False,False,,43776,55308,,271982,0,41159,150028,463169,133800,4636,0,75406,213843,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,"C.E.A., Range B",False,False,,74076,165384,,145823,0,127423,830,274075,45598,0,0,6944,52542,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Battalion Chief,False,False,,55692,70428,,70065,41542,84989,55588,252184,41457,0,0,18679,60136,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,"C.E.A., Range A",False,False,,74076,165384,,131177,0,116410,1038,248624,41274,0,0,15947,57220,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,"Fire Captain, Range A",False,False,,43776,55308,,53685,87588,73654,33170,248098,28607,0,0,18679,47286,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Assistant Chief,False,False,,75792,95580,,126916,0,97626,20174,244716,41530,0,0,13424,54955,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Unit Chief,False,False,,79584,100368,,134086,0,93828,16622,244536,46118,0,0,18872,64990,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Unit Chief,False,False,,79584,100368,,129999,0,85834,8151,223984,43391,0,0,13424,56815,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Assistant Chief,False,False,,75792,95580,,125649,0,75226,19692,220567,43920,0,0,18872,62792,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Battalion Chief,False,False,,55692,70428,,76316,31259,57482,53010,218068,41086,0,0,16372,57458,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Assistant Chief,False,False,,75792,95580,,134619,0,73177,9741,217537,44535,0,0,7536,52071,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,"C.E.A., Range A",False,False,,74076,165384,,131527,0,83063,1070,215660,41631,0,0,12316,53947,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Unit Chief,False,False,,79584,100368,,117870,0,83925,13324,215120,39526,0,0,12306,51832,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,"C.E.A., Range B",False,False,,74076,165384,,168172,0,40925,830,209927,51420,0,0,2149,53569,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Assistant Chief,False,False,,75792,95580,,115413,0,72405,20018,207836,38838,0,0,17396,56234,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Battalion Chief,False,False,,55692,70428,,71921,80105,0,53535,205561,38094,0,0,2842,40936,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Battalion Chief,False,False,,55692,70428,,77733,68631,29102,28482,203948,32073,0,0,2149,34223,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Battalion Chief,False,False,,55692,70428,,65985,84066,0,53535,203587,38093,0,0,17216,55310,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Unit Chief,False,False,,79584,100368,,117373,0,68952,16498,202823,41609,0,0,17396,59005,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,"Fire Captain, Range B",False,False,,48048,60720,,58769,109356,0,33910,202035,29289,0,0,17216,46506,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Battalion Chief,False,False,,55692,70428,,67012,30021,58891,44983,200906,35282,0,0,12173,47455,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,"Fire Captain, Range A",False,False,,43776,55308,,60501,107198,0,32319,200018,27963,0,0,1984,29947,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Battalion Chief,False,False,,55692,70428,,87671,71411,0,39743,198824,40284,0,0,17216,57501,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,"Fire Captain, Range B",False,False,,48048,60720,,51788,117013,0,29886,198687,26232,0,0,17216,43448,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,"Fire Captain, Range A",False,False,,43776,55308,,52859,114247,0,31438,198544,27663,0,0,17216,44880,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,"Fire Captain, Range B",False,False,,48048,60720,,67395,31863,58635,37250,195142,32842,0,0,14398,47240,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Unit Chief,False,False,,79584,100368,,126781,0,43717,24039,194536,45951,0,0,18846,64797,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,"Fire Captain, Range B",False,False,,48048,60720,,66945,32950,52768,36047,188709,32474,0,0,13434,45907,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Assistant Chief,False,False,,75792,95580,,121533,0,61693,5060,188287,39455,0,0,17396,56851,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Forestry & Fire Protection, California Department of",Forestry,Assistant Chief,False,False,,75792,95580,,116992,0,40911,29716,187619,43290,0,0,14566,57855,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
