Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,State Department,"Forestry & Fire Protection, California Department of",Forestry,Assistant Chief,False,False,,81216,102420,,94648,0,270360,2486,367493,37490,0,0,2266,39756,3.00% @ 50,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Forestry & Fire Protection, California Department of",Forestry,Forestry and Fire Protection Administrator,False,False,,85284,107556,,142353,0,167678,14340,324372,62995,0,0,21079,84074,3.00% @ 50,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Forestry & Fire Protection, California Department of",Forestry,Assistant Chief,False,False,,81216,102420,,99951,0,206868,3977,310796,40035,0,0,5811,45846,3.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Forestry & Fire Protection, California Department of",Forestry,Assistant Chief,False,False,,81216,102420,,148270,0,117884,4925,271079,61930,0,0,21079,83009,3.00% @ 50,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Forestry & Fire Protection, California Department of",Forestry,Assistant Chief,False,False,,81216,102420,,148483,0,95532,9851,253866,63346,0,0,21079,84425,3.00% @ 50,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Forestry & Fire Protection, California Department of",Forestry,Assistant Chief,False,False,,81216,102420,,115568,0,95741,40262,251571,55217,0,0,20710,75927,3.00% @ 50,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Forestry & Fire Protection, California Department of",Forestry,Battalion Chief,False,False,,57924,73248,,77084,53343,59535,54622,244585,53917,0,0,19304,73221,3.00% @ 50,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Forestry & Fire Protection, California Department of",Forestry,"Fire Captain, Range B",False,False,,49968,63408,,16099,7174,215110,0,238382,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Forestry & Fire Protection, California Department of",Forestry,Assistant Chief,False,False,,81216,102420,,130234,0,69666,35322,235221,62205,0,0,8393,70598,3.00% @ 50,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Forestry & Fire Protection, California Department of",Forestry,"Fire Captain, Range A",False,False,,45528,57516,,63913,136413,0,33553,233879,39355,0,0,7736,47092,3.00% @ 50,https://www.calhr.ca.gov,,07/25/2017,,,,
