Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,State Department,Franchise Tax Board,,Executive Officer/Franchise Tax Board,False,False,,142965,154615,,146772,0,0,52858,199630,30784,0,0,6944,37728,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,"C.E.A., Range B",False,False,"Member, Board Of Directors/State Compensation Insurance",74076,165384,,162880,0,0,600,163480,23319,0,0,17396,40715,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,"Systems Software Specialist II (Technical), Range A",False,False,,66732,87720,,89215,0,71231,83,160529,18944,0,0,7111,26055,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,"C.E.A., Range A",False,False,,74076,165384,,96020,0,42171,0,138191,20456,0,0,15957,36413,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,"C.E.A., Range C",False,False,,74076,165384,,137657,0,0,48,137705,29142,0,0,17396,46539,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,"C.E.A., Range C",False,False,,74076,165384,,132233,0,0,18,132251,28064,0,0,17396,45460,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Assistant Chief Counsel,False,False,,107160,124128,,132059,0,0,0,132059,27153,0,0,2363,29516,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Assistant Chief Counsel,False,False,,107160,124128,,130406,0,0,48,130454,26814,0,0,2353,29168,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Assistant Chief Counsel,False,False,,107160,124128,,129018,0,0,24,129042,27153,0,0,13424,40577,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Tax Counsel IV,False,False,,101832,130752,,128249,0,0,0,128249,26295,0,0,1984,28279,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,"Senior Information Systems Analyst (Specialist), Range A",False,False,,66852,87864,,32325,0,95718,0,128042,3627,0,0,2248,5875,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Assistant Chief Counsel,False,False,,107160,124128,,127324,0,0,0,127324,27153,0,0,15410,42563,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Assistant Chief Counsel,False,False,,107160,124128,,126835,0,0,0,126835,27153,0,0,17396,44549,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Assistant Chief Counsel,False,False,,107160,124128,,126835,0,0,0,126835,27153,0,0,17396,44549,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Tax Counsel IV,False,False,,101832,130752,,126291,0,0,0,126291,25893,0,0,1984,27877,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Tax Counsel IV,False,False,,101832,130752,,125872,0,0,250,126122,25805,0,0,1984,27789,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Tax Counsel IV,False,False,,101832,130752,,125991,0,0,0,125991,25893,0,0,3370,29263,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Tax Counsel IV,False,False,,101832,130752,,125991,0,0,0,125991,25893,0,0,3370,29263,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Tax Counsel IV,False,False,,101832,130752,,125572,0,0,0,125572,25805,0,0,2842,28646,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Tax Counsel IV,False,False,,101832,130752,,125091,0,0,0,125091,25893,0,0,1984,27877,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Tax Counsel IV,False,False,,101832,130752,,124918,0,0,0,124918,25667,0,0,3370,29037,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,"Systems Software Specialist II (Technical), Range A",False,False,,66732,87720,,88801,0,35491,0,124291,18240,0,0,3155,21395,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Assistant Chief Counsel,False,False,,107160,124128,,123367,0,0,0,123367,26814,0,0,17258,44072,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Tax Counsel IV,False,False,,101832,130752,,122892,0,0,50,122942,25893,0,0,6548,32442,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Tax Counsel IV,False,False,,101832,130752,,122516,0,0,250,122766,25893,0,0,6548,32442,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Tax Counsel IV,False,False,,101832,130752,,122595,0,0,0,122595,25893,0,0,6548,32442,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Franchise Tax Board,,Tax Counsel IV,False,False,,101832,130752,,122579,0,0,0,122579,25893,0,0,12896,38790,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
