Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,State Department,Franchise Tax Board,,Executive Officer/Franchise Tax Board,False,False,,195008,213020,,231071,0,0,61270,292341,62645,0,0,4591,67236,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Franchise Tax Board,,Administrator III Franchise Tax Board,False,False,,104916,125064,,99815,0,148000,0,247816,30735,0,0,9126,39861,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Franchise Tax Board,,"Tax Counsel IV, Range A",False,False,,125436,161052,,151393,0,75048,6029,232470,47668,0,0,17365,65034,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Franchise Tax Board,,"C.E.A., Range B",False,False,,89304,210156,,199241,0,26476,0,225717,62165,0,0,25257,87422,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Franchise Tax Board,,Information Technology Manager II,False,False,,111144,135096,,142297,0,69275,0,211572,43040,0,0,5518,48558,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Franchise Tax Board,,"Program Specialist III, Franchise Tax Board",False,False,,99912,119124,,118618,0,84904,0,203522,37535,0,0,23250,60785,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Franchise Tax Board,,"C.E.A., Range B",False,False,,89304,210156,,116206,0,78604,0,194810,34569,0,0,16763,51332,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Franchise Tax Board,,"C.E.A., Range C",False,False,,89304,210156,,192825,0,0,0,192825,60920,0,0,23287,84208,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Franchise Tax Board,,"Attorney V, Range A",False,False,,132504,169116,,151565,0,38160,30,189755,45596,0,0,4353,49949,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Franchise Tax Board,,"C.E.A., Range B",False,False,,89304,210156,,187608,0,0,-37,187571,58020,0,0,18575,76595,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Franchise Tax Board,,"C.E.A., Range B",False,False,,89304,210156,,179912,0,0,6979,186891,54286,0,0,4823,59109,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Franchise Tax Board,,"Program Specialist III, Franchise Tax Board",False,False,,99912,119124,,123635,0,51068,1200,175903,39299,0,0,18415,57713,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Franchise Tax Board,,Assistant Chief Counsel,False,False,,151812,177564,,167129,0,0,6646,173776,52433,0,0,18188,70621,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
