Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2010,State Department,"General Services, Department of",,"Administrative Law Judge II (Specialist), Office Of Administrative Hearings, Range A",,,,94296,114108,,109660,0,61495,0,171155,20748,0,0,11138,31886,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",Office Of State Architect,Capital Outlay Program Manager,,,,118104,130236,,116314,0,47499,0,163813,21777,0,0,6148,27925,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",Office Of State Architect,Construction Supervisor II,,,,89664,108996,,101472,0,49105,0,150577,18762,0,0,6124,24885,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",,"C.E.A., Range 3",,,,74076,160572,,101711,0,47078,0,148789,19148,0,0,11832,30980,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",,"Presiding Administrative Law Judge, Office Of  Administrative Hearings",,,,94380,114192,,73391,0,65045,5612,144049,13756,0,0,10563,24320,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",,"Manager, Electronic Data Processing Acquisition",,,,85404,98868,,69985,4183,51307,17111,142585,16403,0,0,10844,27247,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",,Staff Services Manager III,,,,81348,89688,,84980,0,57050,0,142030,15449,0,0,2001,17449,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",Office Of State Architect,Project Director II,,,,97380,118308,,55041,0,81125,0,136166,9455,0,0,3274,12729,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",Office Of State Architect,Supervising Structural Engineer,,,,102000,124008,,111099,0,24359,55,135513,19843,0,0,10844,30687,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",,"Director, Office Of Administrative Hearings/Dept Of General Services",,,,150000,150000,,131593,0,0,577,132170,24099,0,0,5636,29736,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",,Standards And Quality Control Manager,,,,107460,118536,,81650,0,50372,0,132022,14628,0,0,4697,19325,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",Office Of State Architect,Construction Supervisor III,,,,97164,118104,,67193,0,62801,223,130218,11706,0,0,7230,18935,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",,"Procurement Officer, Deputy Director/Department Of General Services",,,,149496,149496,,128113,0,0,0,128113,14843,0,0,14084,28927,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",Office Of State Architect,Principal Structural Engineer,,,,118104,130236,,117313,0,9796,0,127109,20839,0,0,5636,26476,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",,Deputy Director And Chief Counsel,,,,136512,147660,,125728,0,0,0,125728,22690,0,0,3526,26216,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",Bldg And Property Mgmt Br,Office Building Manager III,,,,63744,76908,,53604,0,72083,0,125687,9491,0,0,9037,18528,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",,"Administrative Law Judge II (Specialist), Office Of Administrative Hearings, Range A",,,,94296,114108,,81245,0,44368,0,125614,14571,0,0,10857,25428,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",Office Of State Architect,Principal Structural Engineer,,,,118104,130236,,124555,0,0,0,124555,22808,0,0,11832,34640,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",,"C.E.A., Range 5",,,,74076,160572,,123416,0,0,530,123946,22238,0,0,3526,25764,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"General Services, Department of",Office Of State Architect,Construction Supervisor I,,,,78048,94788,,80635,0,40258,0,120893,15084,0,0,11678,26761,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
