Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,"General Services, Department of",,Chief Deputy Director,False,False,,133884,149172,,142402,0,118810,2675,263887,34640,0,0,1984,36624,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"General Services, Department of",Office Of State Architect,"Assistant Chief of Construction Services, Office of the State Architect",False,False,,127980,145356,,152211,0,48137,0,200349,38556,0,0,15274,53830,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"General Services, Department of",Office Of State Architect,Supervising Structural Engineer,False,False,,116076,145356,,143913,0,39774,0,183687,35162,0,0,14024,49186,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"General Services, Department of",,"Administrative Law Judge II (Specialist), Office of Administrative Hearings, Range A",False,False,,98580,124068,,174310,0,0,1164,175474,42131,0,0,17648,59779,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"General Services, Department of",,Director/Department of General Services,False,False,,149470,171545,,155759,0,0,19519,175277,39456,0,0,18200,57657,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"General Services, Department of",,"Administrative Law Judge II (Specialist), Office of Administrative Hearings, Range A",False,False,,98580,124068,,133483,0,26255,-112,159625,34259,0,0,19222,53481,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"General Services, Department of",Bldg And Property Mgmt Br,"Assistant Chief, Office of Real Estate and Design Services",False,False,,93504,108672,,102189,0,54953,866,158008,26300,0,0,18200,44501,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"General Services, Department of",,"Procurement Officer, Deputy Director/Department of General Services",False,False,,156300,160992,,155230,0,0,0,155230,39117,0,0,18200,57317,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"General Services, Department of",,"Director, Office of Administrative Hearings/Dept of General Services",False,False,,156732,161532,,150587,0,0,3030,153617,37979,0,0,18200,56180,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"General Services, Department of",Office Of State Architect,State Architect/Dept of General Services,False,False,,135702,153953,,152210,0,0,0,152210,37406,0,0,1984,39390,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"General Services, Department of",Office Of State Architect,Principal Structural Engineer,False,False,,134364,152616,,149080,0,0,2933,152014,36918,0,0,14024,50943,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"General Services, Department of",Office Of State Architect,Principal Architect,False,False,,134364,152616,,149322,0,0,1727,151049,36918,0,0,3370,40288,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"General Services, Department of",Office Of State Architect,Capital Outlay Program Manager,False,False,,134364,152616,,147402,0,0,2841,150243,36918,0,0,7268,44187,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
