Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,State Department,"Governor, Office of the",,"Executive Secretary to the Governor, Governor's Office",False,False,,184188,299388,,205607,0,37642,3145,246394,67273,0,0,24120,91394,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Senior Assistant to the Governor/Governor's Office,False,False,,0,232848,,159001,0,65094,3570,227665,50256,0,0,9642,59898,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Senior Assistant to the Governor/Governor's Office,False,False,,0,232848,,158792,0,58017,3125,219934,50122,0,0,22479,72600,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Senior Assistant to the Governor/Governor's Office,False,False,,0,232848,,215436,0,0,2520,217956,40184,0,0,1381,41564,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,"Senior Advisor, Office of Planning and Research",False,False,,218976,225540,,213239,0,0,3770,217009,40141,0,0,22173,62313,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Senior Assistant to the Governor/Governor's Office,False,False,,0,232848,,208608,0,0,3695,212303,66466,0,0,22173,88639,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Senior Assistant to the Governor/Governor's Office,False,False,,0,232848,,204400,0,0,3695,208095,66466,0,0,22173,88639,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Governor,True,False,,224020,224020,,201553,0,0,0,201553,66394,0,0,22173,88566,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Senior Assistant to the Governor/Governor's Office,False,False,,0,232848,,197199,0,0,2057,199256,0,0,0,22170,22170,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,"Senior Assistant to the Governor, Office of Planning and Research",False,False,,0,224820,,194314,0,0,3745,198059,0,0,0,17169,17169,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Assistant to the Governor/Governor's Office,False,False,,0,150336,,128931,0,66509,2390,197830,40134,0,0,2827,42961,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Senior Assistant to the Governor/Governor's Office,False,False,,0,232848,,185710,0,0,10954,196664,59065,0,0,17169,76234,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Senior Assistant to the Governor/Governor's Office,False,False,,0,232848,,185745,0,0,9799,195544,57498,0,0,1062,58560,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Senior Assistant to the Governor/Governor's Office,False,False,,0,232848,,181814,0,0,9850,191664,40652,0,0,8901,49553,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Senior Assistant to the Governor/Governor's Office,False,False,,0,232848,,141525,0,45649,3251,190425,40939,0,0,20325,61264,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Senior Assistant to the Governor/Governor's Office,False,False,,0,232848,,184299,0,0,3470,187769,61483,0,0,22173,83656,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Senior Assistant to the Governor/Governor's Office,False,False,,0,232848,,176595,0,0,10895,187490,56497,0,0,22173,78670,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Senior Assistant to the Governor/Governor's Office,False,False,,0,232848,,104479,0,78575,2840,185894,28040,0,0,5934,33974,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Senior Assistant to the Governor/Governor's Office,False,False,,0,232848,,180331,0,0,3670,184001,40620,0,0,17169,57789,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Governor, Office of the",,Senior Assistant to the Governor/Governor's Office,False,False,,0,232848,,179566,0,0,2365,181931,40690,0,0,1062,41752,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
