Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,Health and Human Services Agency,,Supervising Special Investigator II,False,False,,75996,99228,,122334,0,119822,0,242156,43914,0,0,7268,51182,,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Secretary of the California Health and Human Services Agency,False,False,,163976,188451,,182579,0,0,-373,182206,45788,0,0,13461,59249,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"Undersecretary, California Health and Human Services",False,False,,168924,168924,,164441,0,0,3170,167611,41044,0,0,7268,48312,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,General Counsel,False,False,,131976,172908,,153261,0,0,23,153284,39286,0,0,18200,57486,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"C.E.A., Range B",False,False,,77436,172908,,136228,0,0,2664,138891,34494,0,0,18200,52695,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"Deputy Secretary, Communications",False,False,,122388,136308,,124212,0,0,586,124798,31754,0,0,14024,45778,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Supervising Special Investigator II,False,False,,75996,99228,,25721,0,96737,970,123428,0,0,0,0,0,,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"Patient Advocate, Health and Human Services Agency",False,False,,122388,136308,,122955,0,0,472,123427,16996,0,0,2294,19290,,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"C.E.A., Range B",False,False,,77436,172908,,119892,0,0,3296,123188,47587,0,0,18200,65788,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,General Counsel,False,False,,131976,172908,,108516,0,14226,0,122741,27333,0,0,11687,39020,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"Deputy Secretary, Office of Legislative Affairs, Californ   IA Health and Human Services Agency",False,False,,122388,136308,,121362,0,0,0,121362,30418,0,0,7268,37687,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"C.E.A., Range B",False,False,,77436,172908,,117226,0,0,2230,119456,29470,0,0,8957,38428,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"C.E.A., Range B",False,False,,77436,172908,,115563,0,0,0,115563,29102,0,0,14024,43127,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"Deputy Secretary, Special Programs, Health and Human Services Agency",False,False,,112224,124992,,114024,0,0,0,114024,28399,0,0,7268,35668,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"Associate Secretary, External Affairs/Health and Human Services Agency",False,False,,110220,122796,,113986,0,0,0,113986,29835,0,0,18200,48035,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"C.E.A., Range B",False,False,,77436,172908,,111108,0,0,0,111108,28222,0,0,14024,42247,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"Attorney III, Range A",False,False,,96384,123660,,110400,0,0,0,110400,27950,0,0,13496,41446,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"Attorney III, Range A",False,False,,96384,123660,,107166,0,0,1121,108287,27623,0,0,13496,41119,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Data Processing Manager III,False,False,,89304,106464,,101550,0,0,2498,104048,25899,0,0,7268,33167,1.25% @ 65,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"C.E.A., Range A",False,False,,77436,172908,,100153,0,0,2028,102182,26063,0,0,18200,44263,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"Attorney III, Range A",False,False,,96384,123660,,68544,0,24569,1218,94331,16862,0,0,3995,20857,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"C.E.A., Range A",False,False,,77436,172908,,94103,0,0,0,94103,24016,0,0,9520,33536,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"C.E.A., Range B",False,False,,77436,172908,,93227,0,0,23,93250,23322,0,0,2282,25604,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Staff Services Manager III,False,False,,85056,96576,,88673,0,0,0,88673,22175,0,0,14024,36199,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Staff Services Manager III,False,False,,85056,96576,,85981,0,0,1631,87612,21488,0,0,7268,28756,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Chief of Administrative and Financial Services,False,False,,86844,96732,,83986,0,0,1678,85664,21736,0,0,18200,39936,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Research Program Specialist I,False,False,,60636,75900,,80050,0,5332,0,85382,19960,0,0,1954,21915,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"C.E.A., Range A",False,False,,77436,172908,,83433,0,0,0,83433,21836,0,0,18200,40036,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Special Assistant to the Agency Secretary,False,False,,79008,88008,,82293,0,0,0,82293,20203,0,0,2884,23086,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Training Officer III,False,False,,69960,86940,,82847,0,0,-723,82123,20279,0,0,8313,28593,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Supervising Special Investigator II,False,False,,75996,99228,,79627,0,0,1570,81198,20337,0,0,14024,34361,3.00% @ 50,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Research Program Specialist II,False,False,,66600,83364,,79856,0,0,0,79856,20256,0,0,6852,27107,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Staff Services Manager III,False,False,,85056,96576,,75087,0,0,1888,76975,19145,0,0,14024,33169,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"C.E.A., Range A",False,False,,77436,172908,,74845,0,0,0,74845,20216,0,0,18200,38416,1.25% @ 65,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"C.E.A., Range A",False,False,,77436,172908,,51300,0,22671,0,73971,12230,0,0,992,13222,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"Associate Secretary, Media Relations",False,False,,79008,88008,,72175,0,0,1482,73657,19196,0,0,18200,37396,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"C.E.A., Range A",False,False,,77436,172908,,70385,0,0,0,70385,0,0,0,0,0,,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"Deputy Secretary, Health Information Exchange",False,False,,122388,136308,,64017,0,5976,40,70033,15504,0,0,1363,16866,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Staff Services Manager I,False,False,,63732,79176,,69966,0,0,0,69966,16832,0,0,1804,18636,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"Associate Governmental Program Analyst, Range A",False,False,,55200,69096,,67953,0,0,-323,67630,16592,0,0,2867,19459,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Health Program Specialist I,False,False,,60636,75900,,65973,0,0,0,65973,17566,0,0,13505,31071,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Staff Services Manager I,False,False,,63732,79176,,64200,0,0,0,64200,15989,0,0,7268,23258,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Staff Services Manager I,False,False,,63732,79176,,62595,0,0,1322,63917,15604,0,0,7268,22873,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"Associate Governmental Program Analyst, Range A",False,False,,55200,69096,,63291,0,0,0,63291,15989,0,0,6852,22841,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,Staff Services Manager II (Supervisory),False,False,,69960,86940,,26818,0,35274,0,62092,6786,0,0,4675,11461,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"Associate Governmental Program Analyst, Range A",False,False,,55200,69096,,58816,0,0,0,58816,8781,0,0,124,8905,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"Associate Governmental Program Analyst, Range A",False,False,,55200,69096,,54512,0,0,108,54620,13462,0,0,302,13764,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Health and Human Services Agency,,"Executive Assistant, Range A",False,False,,41256,51636,,52307,0,0,0,52307,13503,0,0,6852,20354,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
