Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2014,State Department,"Health Care Services, Department of",,"C.E.A., Range B",False,False,,75552,168696,,114050,0,79631,0,193681,26451,0,0,16205,42656,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Pharmaceutical Consultant II, Department of Health Services (Specialist)",False,False,,69096,99948,,130845,0,59627,0,190471,30081,0,0,7263,37344,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range C",False,False,,115032,157824,,141989,0,45150,1000,188138,32201,0,0,5059,37260,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Director, Department of Health Care Services",False,False,,150047,182021,,170133,0,0,119,170252,40486,0,0,17708,58194,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant II, Department of Health Services, Range C",False,False,,117744,161556,,161621,0,0,4699,166320,37024,0,0,2735,39759,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Public Health Medical Administrator I, Range C",False,False,,146304,170688,,164845,0,0,884,165729,37965,0,0,16824,54790,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Program Consultant, Department of Health Services",False,False,,142860,170664,,164171,0,0,1024,165195,37960,0,0,17708,55668,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Program Consultant, Department of Health Services",False,False,,142860,170664,,163151,0,0,1000,164151,37960,0,0,17708,55668,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Public Health Medical Officer III, Range T",False,False,,120756,162552,,159507,0,0,1000,160507,36155,0,0,7100,43255,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Program Consultant, Department of Health Services",False,False,,142860,170664,,158264,0,0,1000,159264,37424,0,0,17708,55133,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant II, Department of Health Services, Range A",False,False,,115032,157824,,157098,0,0,2000,159098,35104,0,0,1984,37088,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Public Health Medical Officer III, Range C",False,False,,117744,161556,,156890,0,0,2000,158890,35934,0,0,6704,42638,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Public Health Medical Officer II, Range C",False,False,,115032,157824,,156719,0,0,2030,158749,35104,0,0,2215,37319,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant II, Department of Health Services, Range A",False,False,,115032,157824,,156024,0,0,2000,158024,35104,0,0,3181,38285,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range C",False,False,,115032,157824,,155762,0,0,2000,157762,24168,0,0,1984,26152,2.00% @ 60,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Public Health Medical Administrator I, Range C",False,False,,146304,170688,,156540,0,0,1000,157540,35081,0,0,1984,37065,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Public Health Medical Officer III, Range C",False,False,,117744,161556,,154900,0,0,2000,156900,35934,0,0,13172,49106,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range C",False,False,,115032,157824,,154299,0,0,2428,156727,35104,0,0,6704,41808,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant II, Department of Health Services, Range A",False,False,,115032,157824,,154698,0,0,2000,156698,35104,0,0,2215,37319,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant II, Department of Health Services, Range C",False,False,,117744,161556,,154676,0,0,2000,156676,35934,0,0,13172,49106,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Public Health Medical Officer III, Range C",False,False,,117744,161556,,155557,0,0,1000,156557,35934,0,0,13172,49106,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Public Health Medical Officer III, Range T",False,False,,120756,162552,,154845,0,0,1000,155845,36025,0,0,17708,53734,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Public Health Medical Officer III, Range C",False,False,,117744,161556,,149842,0,3060,2053,154955,34151,0,0,6212,40363,2.00% @ 60,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range C",False,False,,115032,157824,,152412,0,0,2000,154412,35104,0,0,6704,41808,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range C",False,False,,115032,157824,,152228,0,0,2000,154228,35104,0,0,13172,48276,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Public Health Medical Officer III, Range C",False,False,,117744,161556,,153041,0,0,1000,154041,35775,0,0,13172,48947,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant II, Department of Health Services, Range C",False,False,,117744,161556,,152991,0,0,1000,153991,35934,0,0,17168,53102,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant II, Department of Health Services, Range A",False,False,,115032,157824,,150547,0,0,2000,152547,35104,0,0,13172,48276,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range C",False,False,,115032,157824,,150471,0,0,2000,152471,35104,0,0,17168,52272,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range C",False,False,,115032,157824,,150724,0,0,1030,151754,35104,0,0,17168,52272,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"C.E.A., Range B",False,False,,75552,168696,,151601,0,0,0,151601,34632,0,0,17708,52341,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range C",False,False,,115032,157824,,149565,0,0,2000,151565,35023,0,0,13172,48195,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range C",False,False,,115032,157824,,149530,0,0,2000,151530,33436,0,0,1984,35420,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range C",False,False,,115032,157824,,149508,0,0,2000,151508,33436,0,0,1984,35420,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range C",False,False,,115032,157824,,149231,0,0,2000,151231,34974,0,0,17168,52142,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range B",False,False,,111780,153360,,149121,0,0,2000,151121,34216,0,0,6704,40921,1.25% @ 65,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Deputy Director and Chief Counsel, Department of Health Careservices",False,False,,151836,156396,,150064,0,0,67,150131,34786,0,0,17708,52494,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range B",False,False,,111780,153360,,147963,0,0,2000,149963,34111,0,0,6704,40815,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range B",False,False,,111780,153360,,147507,0,0,2152,149660,33802,0,0,6704,40506,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range C",False,False,,115032,157824,,148224,0,0,1000,149224,35104,0,0,17168,52272,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant II, Department of Health Services, Range C",False,False,,117744,161556,,147113,0,0,1064,148177,34227,0,0,6704,40932,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Health Program Audit Manager II, Department of Health Services",False,False,,68712,89628,,91497,0,56357,0,147854,21667,0,0,14869,36536,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant II, Department of Health Services, Range C",False,False,,117744,161556,,145852,0,0,2000,147852,34151,0,0,17168,51319,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range B",False,False,,111780,153360,,145747,0,0,2000,147747,34111,0,0,13172,47283,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant II, Department of Health Services, Range A",False,False,,115032,157824,,146556,0,0,1064,147621,0,0,0,124,124,,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,Data Processing Manager II,False,False,,71592,94104,,75514,0,71692,0,147205,17382,0,0,16233,33615,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range C",False,False,,115032,157824,,144934,0,0,2000,146934,32389,0,0,1984,34373,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Chief Deputy Director, Policy and Program Support, California Department of Health Services",False,False,,139248,155124,,145964,0,0,0,145964,32632,0,0,1984,34615,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,Senior Programmer Analyst (Supervisor),False,False,,71604,94116,,94848,0,48128,2400,145375,22751,0,0,19225,41976,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range C",False,False,,115032,157824,,112966,0,0,31670,144636,26779,0,0,6704,33483,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Chief Deputy Director, Health Care Programs, Department of Health Care Services",False,False,,139248,155124,,143779,0,0,0,143779,32632,0,0,7100,39732,2.00% @ 60,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,Staff Services Manager II (Supervisory),False,False,,68256,84816,,52285,0,89655,0,141940,12156,0,0,11957,24113,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range C",False,False,,115032,157824,,139385,0,0,2000,141385,31098,0,0,1984,33082,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"C.E.A., Range B",False,False,,75552,168696,,140252,0,0,0,140252,31791,0,0,13700,45491,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"C.E.A., Range B",False,False,,75552,168696,,139942,0,0,0,139942,31930,0,0,17708,49639,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range A",False,False,,106620,146268,,137686,0,0,2000,139686,32534,0,0,17168,49702,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant I, Department of Health Services, Range C",False,False,,115032,157824,,138345,0,0,1000,139345,31443,0,0,6704,38147,2.00% @ 60,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Dental Program Consultant, Department of Health Services",False,False,,101976,139920,,136867,0,0,2000,138867,31121,0,0,6704,37826,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"C.E.A., Range B",False,False,,75552,168696,,137910,0,0,0,137910,31857,0,0,7100,38958,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"Medical Consultant II, Department of Health Services, Range C",False,False,,117744,161556,,116918,0,0,20962,137881,28579,0,0,13172,41752,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Health Care Services, Department of",,"C.E.A., Range C",False,False,,75552,168696,,136634,0,0,14,136648,28184,0,0,17708,45892,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
