Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,"Housing & Community Development, Department of",,Housing and Community Development Specialist I,False,False,,60636,75900,,83881,0,55604,1835,141321,21442,0,0,16684,38125,,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Housing & Community Development, Department of",,Supervising Attorney,False,False,,96432,122556,,135942,0,0,2674,138617,33913,0,0,18200,52113,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Housing & Community Development, Department of",,"General Counsel, Department of Housing and Community Development",False,False,,140004,160008,,134819,0,0,0,134819,32784,0,0,1984,34768,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Housing & Community Development, Department of",,"C.E.A., Range A",False,False,,77436,172908,,103143,0,29676,0,132819,25678,0,0,7268,32947,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Housing & Community Development, Department of",,Deputy Director of Housing Policy Development,False,False,,122388,136308,,128947,0,0,0,128947,31398,0,0,1684,33082,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Housing & Community Development, Department of",,"C.E.A., Range B",False,False,,77436,172908,,123871,0,0,2679,126551,32854,0,0,18200,51054,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Housing & Community Development, Department of",,Codes and Standards Administrator II (Non-Peace Officer),False,False,,72456,90192,,83427,0,37660,3580,124667,21244,0,0,1904,23147,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Housing & Community Development, Department of",,"Attorney III, Range A",False,False,,96384,123660,,120590,0,0,1119,121709,29346,0,0,3251,32597,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Housing & Community Development, Department of",,"Attorney III, Range A",False,False,,96384,123660,,120556,0,0,0,120556,30046,0,0,1519,31565,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Housing & Community Development, Department of",,Assistant Chief Counsel,False,False,,112044,129780,,118240,0,0,1260,119500,30175,0,0,17694,47869,1.25% @ 65,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Housing & Community Development, Department of",,"Attorney III, Range A",False,False,,96384,123660,,116688,0,0,0,116688,29937,0,0,13716,43653,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
