Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,"Housing & Community Development, Department of",,"General Counsel, Department of Housing and Community Development",False,False,,178200,203640,,193147,0,0,17580,210727,64058,0,0,23377,87435,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,Director/Department of Housing and Community Development,False,False,,217623,217623,,205100,0,0,2322,207422,46733,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,"Attorney, Assistant Chief Counsel",False,False,,169080,197796,,186510,0,0,15360,201870,62170,0,0,23377,85546,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,"Attorney, Assistant Chief Counsel",False,False,,169080,197796,,185857,0,0,15360,201217,62195,0,0,23377,85571,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,"Deputy General Counsel, Housing and Community Development",False,False,,170400,189864,,178954,0,0,16499,195453,59724,0,0,18217,77941,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,"Attorney, Assistant Chief Counsel",False,False,,169080,197796,,192600,0,0,600,193200,46733,0,0,3450,50184,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,"Attorney, Assistant Chief Counsel",False,False,,169080,197796,,177017,0,0,14514,191531,46733,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,"Attorney IV, Range A",False,False,,139728,179448,,175093,0,0,14002,189095,56418,0,0,2780,59198,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,"Chief Deputy Director, Housing and Community Development",False,False,,181176,198552,,178931,0,0,9252,188183,46733,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,"Attorney IV, Range A",False,False,,139728,179448,,170833,0,0,14379,185212,56201,0,0,22693,78894,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,"Attorney IV, Range A",False,False,,139728,179448,,169486,0,0,14260,183746,56418,0,0,22693,79111,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,"Attorney IV, Range A",False,False,,139728,179448,,168349,0,0,7095,175444,55421,0,0,8857,64278,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,"Deputy Director, Division of Financial Assistance - State Programs",False,False,,170400,189864,,166791,0,0,8649,175440,55206,0,0,9397,64603,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,"Attorney IV, Range A",False,False,,139728,179448,,171195,0,0,-436,170759,46733,0,0,10620,57353,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,"C.E.A., Range C",False,False,,117060,241728,,160940,0,0,8581,169521,54424,0,0,18217,72641,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,Deputy Director of Housing Policy Development,False,False,,155760,176268,,162094,0,0,6684,168778,46733,0,0,1996,48729,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,"Attorney IV, Range A",False,False,,139728,179448,,162305,0,0,5041,167346,46733,0,0,22693,69426,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Housing & Community Development, Department of",,"Attorney IV, Range A",False,False,,139728,179448,,154173,0,0,13011,167184,46733,0,0,22693,69426,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
