Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,State Department,Housing Finance Agency,,General Counsel/California Housing Finance Agency,False,False,,129996,170004,,180777,0,28334,6538,215649,47660,0,0,16246,63906,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,Director of Homeownership Program,False,False,,123996,189996,,101289,0,100511,30,201830,26285,0,0,5811,32096,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,Executive Director/California Housing Finance Agency,False,False,,150000,210000,,187174,0,0,0,187174,49677,0,0,19460,69138,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,"Director, Financing/California Housing Finance Agency",False,False,,138288,189996,,184709,0,0,0,184709,49033,0,0,19460,68493,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,Chief Deputy Director/California Housing Finance Agency,False,False,,138264,189996,,172864,0,0,7,172871,46680,0,0,19460,66140,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,"Director of Multifamily Programs, Calhfa",False,False,,140004,210000,,154656,0,0,6232,160888,40808,0,0,3399,44207,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,Housing Finance Officer (Single Family),False,False,,79008,98376,,99337,0,52169,3673,155178,26967,0,0,15112,42079,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,"Director,Calhfa Legislation & Mortgage Assistance           Corporation",False,False,,137496,170004,,147804,0,0,5928,153732,39777,0,0,19460,59237,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,Assistant Chief Counsel,False,False,,135288,158256,,140541,0,0,2496,143037,35806,0,0,1984,37790,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,"Chief Information Officer, California Housing Finance Agency",False,False,,99996,137496,,136199,0,0,5830,142029,35484,0,0,8956,44441,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,"Senior Housing Construction Inspector, California Housing Finance Agency",False,False,,105624,132180,,125530,0,0,13415,138944,33188,0,0,19301,52489,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,"Systems Software Specialist II (Technical), Range A",False,False,,69768,91704,,89910,0,46373,0,136283,22738,0,0,1804,24542,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,Assistant Chief Counsel,False,False,,135288,158256,,128600,0,0,3248,131848,34326,0,0,19076,53402,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,"Attorney III, Range A",False,False,,101208,129840,,124270,0,0,1189,125459,32189,0,0,2280,34469,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,"Attorney III, Range A",False,False,,101208,129840,,121243,0,0,2013,123256,32395,0,0,18884,51280,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,"Attorney III, Range A",False,False,,101208,129840,,121227,0,0,0,121227,31563,0,0,1984,33547,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,"Attorney III, Range A",False,False,,101208,129840,,119995,0,0,1189,121184,32189,0,0,14444,46633,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,Accounting Administrator II,False,False,,72060,89544,,52847,0,64127,3344,120317,14691,0,0,12974,27665,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,"Housing Construction Inspector, California Housing Finance Agency",False,False,,97260,121752,,110716,0,0,4459,115175,29158,0,0,14861,44020,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,"C.E.A., Range B",False,False,,79764,181548,,107758,0,0,4282,112040,29506,0,0,19460,48966,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,"Attorney III, Range A",False,False,,101208,129840,,107155,0,0,0,107155,28818,0,0,18884,47702,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,Housing Finance Chief (Single Family),False,False,,96312,109368,,102612,0,0,4084,106696,27546,0,0,19460,47006,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Housing Finance Agency,,"Housing Maintenance Inspector, California Housing Finance Agency",False,False,,89784,112320,,105881,0,0,0,105881,28202,0,0,19301,47503,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
