Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2011,State Department,"Industrial Relations, Department of",,Presiding Workers' Compensation Judge,,,,94380,114192,,131243,0,39129,0,170372,23639,0,0,134,23774,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Industrial Relations, Department of",,"Regional Manager, Division Of Occupational Safety And Health",,,,107460,118536,,122377,0,44900,0,167277,22226,0,0,6673,28899,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Industrial Relations, Department of",,Senior Safety Engineer -Industrial-,,,,97380,118308,,57951,0,104540,0,162492,10687,0,0,8891,19578,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Industrial Relations, Department of",,"C.E.A., Range 2",,,,74076,160572,,80631,0,72649,108,153387,13742,0,0,8900,22642,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Industrial Relations, Department of",,Workers' Compensation Judge,,,,89928,108756,,107626,0,44456,0,152081,20093,0,0,15681,35774,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Industrial Relations, Department of",,Senior Safety Engineer -Mining And Tunneling-,,,,88524,107580,,91800,0,60106,28,151934,16913,0,0,10865,27777,,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Industrial Relations, Department of",,"C.E.A., Range 1",,,,74076,160572,,90047,0,58820,168,149034,17228,0,0,16753,33981,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Industrial Relations, Department of",,Associate Safety Engineer,,,,82776,100536,,80944,0,62776,16,143736,15509,0,0,15241,30750,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Industrial Relations, Department of",,"C.E.A., Range 5",,,,74076,160572,,143176,0,531,0,143707,26153,0,0,12881,39034,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Industrial Relations, Department of",,Assistant Chief Counsel,,,,107160,120516,,139518,0,0,0,139518,26581,0,0,8520,35102,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
