Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,State Department,"Insurance, Department of",,"C.E.A., Range B",False,False,,74076,165384,,93737,0,90457,50,184244,29723,0,0,11187,40910,3.00% @ 50,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,General/Chief Counsel,False,False,,160572,165384,,156278,0,0,18,156296,32928,0,0,6944,39873,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,Chief Deputy Insurance Commissioner/Dept Of Insurance,False,False,,132024,147084,,139270,0,0,468,139737,29284,0,0,6944,36229,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,Attorney IV,False,False,,101832,130752,,130556,0,0,6933,137489,28241,0,0,17396,45637,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,Insurance Commissioner/Dept Of Insurance,True,False,,139189,139189,,133485,0,0,6,133491,4743,0,0,3056,7799,Legislative Retirement System (LRS)-Constitutional Officer,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,Chief Actuary Department Of Insurance C.E.A.,False,False,,120636,136188,,128391,0,0,0,128391,27114,0,0,13424,40538,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,"Deputy Commissioner, Corporate And Regulatory Affairs",False,False,,142860,142860,,127756,0,0,6,127762,0,0,0,17396,17396,Alternate Retirement Plan (ARP),https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,Supervising Life Actuary,False,False,,104100,129708,,125669,0,0,491,126160,25905,0,0,3046,28951,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,"C.E.A., Range C",False,False,,74076,165384,,125088,0,0,0,125088,26914,0,0,13424,40338,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,Assistant Chief Counsel,False,False,,107160,124128,,124752,0,0,0,124752,27153,0,0,17396,44549,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,Chief Actuary Department Of Insurance C.E.A.,False,False,,120636,136188,,102297,0,0,22413,124711,27145,0,0,17396,44541,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,"Attorney III, Range A",False,False,,92184,118284,,119012,0,5064,0,124076,25324,0,0,7094,32418,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,"Senior Life Actuary, Range A",False,False,,92004,115200,,121758,0,0,48,121807,4518,0,0,14143,18661,2.00% @ 60,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,Assistant Chief Counsel,False,False,,107160,124128,,121053,0,0,0,121053,27153,0,0,13424,40577,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,"Senior Insurance Examiner (Specialist), Range A",False,False,,63708,83724,,83442,0,37299,145,120887,18112,0,0,13994,32107,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,"Senior Life Actuary, Range A",False,False,,92004,115200,,120816,0,0,0,120816,25524,0,0,15819,41344,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,Attorney IV,False,False,,101832,130752,,120478,0,0,0,120478,25893,0,0,16844,42738,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,"Senior Casualty Actuary, Range A",False,False,,92004,115200,,120156,0,0,7,120163,0,0,0,6064,6064,Alternate Retirement Plan (ARP),https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,"Senior Life Actuary, Range A",False,False,,92004,115200,,119677,0,0,108,119785,25547,0,0,12850,38397,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,"Senior Casualty Actuary, Range A",False,False,,92004,115200,,119068,0,0,0,119068,25524,0,0,12896,38420,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,"C.E.A., Range 2",False,False,,74076,165384,,58422,0,60609,0,119031,12137,0,0,10158,22295,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,"C.E.A., Range B",False,False,,74076,165384,,118876,0,0,0,118876,24705,0,0,17396,42101,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,"Senior Casualty Actuary, Range A",False,False,,92004,115200,,117929,0,0,85,118014,25542,0,0,16826,42368,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Insurance, Department of",,"Senior Casualty Actuary, Range A",False,False,,92004,115200,,117810,0,0,-18,117792,21130,0,0,12524,33653,2.00% @ 60,https://www.calhr.ca.gov,,07/14/2014,,,,
