Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,State Department,Judicial Council of California,,Federal Court Consultant,False,True,,0,260724,,245854,0,0,64079,309933,76674,0,0,25946,102619,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Administrative Director,False,True,,199332,299004,,278121,0,0,19109,297230,87931,0,0,26804,114735,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Chief Officer II,False,True,,183432,275160,,238456,0,0,14445,252901,74734,0,0,21091,95825,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Chief Officer I,False,True,,168804,253224,,220789,0,0,17527,238316,69069,0,0,25259,94327,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Chief Officer I,False,True,,168804,253224,,214216,0,0,3159,217376,67601,0,0,25240,92840,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Director,False,True,,141012,211512,,203696,0,0,11790,215486,62202,0,0,7719,69921,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,"Special Consultant, Executive",False,True,,141012,275160,,214519,0,0,301,214820,66734,0,0,20621,87355,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,"Director, Chief Counsel",False,True,,198432,238128,,212717,0,0,0,212717,66941,0,0,25188,92129,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Director,False,True,,141012,211512,,190435,0,0,11236,201671,59639,0,0,24540,84179,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Director,False,True,,141012,211512,,196719,0,0,0,196719,62202,0,0,24750,86952,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,"Principal Manager I, Attorney",False,True,,163044,195672,,186209,0,0,9202,195411,57544,0,0,12428,69972,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Director,False,True,,141012,211512,,194972,0,0,0,194972,61941,0,0,24809,86751,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Director,False,True,,141012,211512,,192120,0,0,0,192120,62202,0,0,24843,87045,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,"Principal Manager II, Attorney",False,True,,178980,214764,,179263,0,0,10687,189950,56230,0,0,24380,80610,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Principal Manager I,False,True,,106884,160332,,112692,0,74775,0,187467,34886,0,0,14423,49309,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Director,False,True,,141012,211512,,185528,0,0,0,185528,58748,0,0,20377,79125,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Director,False,True,,141012,211512,,181482,0,0,404,181886,57318,0,0,24364,81683,2.00% @ 62,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Director,False,True,,141012,211512,,181103,0,0,0,181103,57620,0,0,24479,82099,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Supervising Attorney,False,True,,147144,176592,,168709,0,0,9843,178552,51932,0,0,5400,57331,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Supervising Attorney,False,True,,147144,176592,,167408,0,0,9843,177252,51932,0,0,12000,63932,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,"Principal Manager I, Attorney",False,True,,163044,195672,,175982,0,0,0,175982,55516,0,0,6355,61871,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Director,False,True,,141012,211512,,165828,0,0,9713,175541,51867,0,0,19475,71342,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Principal Manager II,False,True,,121068,181608,,175468,0,0,0,175468,53386,0,0,5863,59249,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Senior Application Development Analyst,False,True,,93180,139764,,119656,0,54198,0,173854,37839,0,0,10515,48353,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Principal Manager II,False,True,,121068,181608,,167081,0,0,5082,172163,53407,0,0,24172,77579,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,"Principal Manager I, Attorney",False,True,,163044,195672,,166116,0,0,3261,169376,51607,0,0,11908,63515,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Supervising Attorney,False,True,,147144,176592,,167747,0,0,0,167747,51909,0,0,12457,64366,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Supervising Attorney,False,True,,147144,176592,,155756,0,0,9604,165360,49874,0,0,23891,73765,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Principal Manager II,False,True,,121068,181608,,164848,0,0,0,164848,51098,0,0,12386,63484,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Supervising Attorney,False,True,,147144,176592,,164427,0,0,0,164427,51932,0,0,24060,75991,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Supervising Attorney,False,True,,147144,176592,,163825,0,0,8,163833,50498,0,0,5275,55773,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Attorney II,False,True,,136560,163848,,157019,0,0,6089,163107,48184,0,0,6650,54834,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Principal Manager II,False,True,,149208,186516,,162839,0,0,32,162871,52114,0,0,23969,76084,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Information Technology Architect,False,True,,101136,151716,,153316,0,0,8937,162253,47643,0,0,11706,59349,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Director,False,True,,141012,211512,,162041,0,0,0,162041,49505,0,0,6649,56154,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Manager,False,True,,101136,151716,,145574,0,12982,2722,161278,46090,0,0,25354,71444,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Principal Manager I,False,True,,106884,160332,,152074,0,0,8937,161011,47150,0,0,11672,58823,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Supervising Attorney,False,True,,147144,176592,,146408,0,0,13897,160305,49599,0,0,11752,61351,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Supervising Attorney,False,True,,147144,176592,,159609,0,0,0,159609,51862,0,0,24054,75916,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Principal Manager I,False,True,,106884,160332,,150118,0,0,8937,159055,47150,0,0,23602,70753,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Principal Manager I,False,True,,106884,160332,,149808,0,0,8937,158745,48210,0,0,23706,71916,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Principal Manager I,False,True,,106884,160332,,147451,0,0,8795,156246,46330,0,0,23528,69858,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Supervising Attorney,False,True,,147144,176592,,155628,0,0,0,155628,48856,0,0,22643,71499,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Judicial Council of California,,Attorney II,False,True,,136560,163848,,153949,0,0,-35,153915,48184,0,0,18929,67113,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
