Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2018,State Department,"Justice, Department of (Attorney General)",,"Deputy Attorney General V, Range A",False,False,,128952,164592,,126579,0,78947,6087,211614,38335,0,0,17202,55537,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"C.E.A., Range B",False,False,,86280,200148,,208533,0,0,142,208675,60347,0,0,20642,80989,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"Deputy Attorney General V, Range A",False,False,,128952,164592,,156388,0,45045,6087,207520,46399,0,0,8984,55383,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"Deputy Attorney General V, Range A",False,False,,128952,164592,,127685,0,74702,0,202387,38335,0,0,17202,55537,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"Special Agent Supervisor, Department of Justice",False,False,,80076,110892,,114782,75947,0,6408,197136,54153,0,0,16959,71113,3.00% @ 50,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"Special Agent Supervisor, Department of Justice",False,False,,80076,110892,,103782,88520,0,4168,196471,49804,0,0,20931,70735,3.00% @ 50,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,Solicitor General,False,False,,201264,201264,,196106,0,0,0,196106,56738,0,0,661,57399,2.00% @ 60,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"C.E.A., Range C",False,False,,86280,200148,,190656,0,0,53,190709,55886,0,0,8769,64655,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"Deputy Attorney General V, Range A",False,False,,128952,164592,,102247,0,82139,6087,190473,30271,0,0,10616,40887,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"Special Agent Supervisor, Department of Justice",False,False,,80076,110892,,114419,71224,0,4490,190133,52636,0,0,9615,62251,3.00% @ 50,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,Chief Deputy to the Attorney General,False,False,,208272,208272,,188207,0,0,74,188281,58064,0,0,20466,78530,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,Supervising Deputy Attorney General,False,False,,134508,172812,,161921,0,0,25586,187507,48717,0,0,9501,58217,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"Special Agent, Department of Justice, Range C",False,False,,73008,100968,,95345,88184,0,3900,187429,45709,0,0,21137,66846,3.00% @ 50,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"C.E.A., Range B",False,False,,86280,200148,,179709,0,0,7099,186808,53709,0,0,20678,74388,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"Deputy Attorney General V, Range A",False,False,,128952,164592,,165020,0,21524,30,186574,50248,0,0,17693,67941,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"Deputy Attorney General IV, Range A",False,False,,122076,156744,,144009,0,36387,5797,186193,44188,0,0,20711,64899,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"C.E.A., Range C",False,False,,86280,200148,,182137,0,0,3000,185137,86284,0,0,23306,109590,3.00% @ 50,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"C.E.A., Range B",False,False,,86280,200148,,178145,0,0,6890,185035,51152,0,0,2710,53862,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"Special Agent, Department of Justice, Range C",False,False,,73008,100968,,99382,14789,69570,0,183741,47048,0,0,16677,63725,3.00% @ 50,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"C.E.A., Range B",False,False,,86280,200148,,171900,0,0,9350,181250,51152,0,0,16118,67270,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"Special Agent-In-Charge, Department of Justice",False,False,,100872,125820,,138138,0,30909,11286,180334,68484,0,0,24477,92962,3.00% @ 50,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"C.E.A., Range B",False,False,,86280,200148,,173450,0,0,6710,180161,51152,0,0,8702,59854,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"C.E.A., Range B",False,False,,86280,200148,,173243,0,0,6740,179983,51152,0,0,16118,67270,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"Deputy Attorney General V, Range A",False,False,,128952,164592,,153637,0,0,26072,179708,46399,0,0,20780,67179,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"C.E.A., Range B",False,False,,86280,200148,,179719,0,0,-20,179699,53090,0,0,18793,71883,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"C.E.A., Range B",False,False,,86280,200148,,179525,0,0,0,179525,53709,0,0,16154,69864,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"C.E.A., Range B",False,False,,86280,200148,,172308,0,0,6767,179075,51152,0,0,20642,71794,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"C.E.A., Range B",False,False,,86280,200148,,171668,0,0,7366,179034,51152,0,0,20642,71794,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,Supervising Deputy Attorney General,False,False,,134508,172812,,163281,0,0,15695,178977,48717,0,0,16917,65633,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"C.E.A., Range B",False,False,,86280,200148,,171218,0,0,7738,178956,51152,0,0,20642,71794,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,Information Technology Manager II,False,False,,107388,130524,,128408,0,50430,0,178837,36792,0,0,2840,39632,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"C.E.A., Range B",False,False,,86280,200148,,171299,0,0,6747,178046,51152,0,0,16118,67270,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"C.E.A., Range B",False,False,,86280,200148,,171131,0,0,6710,177841,51152,0,0,16118,67270,1.25% @ 65,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"Special Agent, Department of Justice, Range C",False,False,,73008,100968,,110312,25546,36796,4994,177649,53042,0,0,23142,76184,3.00% @ 50,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Justice, Department of (Attorney General)",,"C.E.A., Range B",False,False,,86280,200148,,172787,0,0,3461,176248,51152,0,0,16118,67270,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
