Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,State Department,Labor and Workforce Development Agency,,Secretary of Labor and Workforce Development,False,False,,168896,194105,,183053,0,0,7248,190301,48886,0,0,19460,68347,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Labor and Workforce Development Agency,,"Undersecretary, Labor and Workforce Development Agency",False,False,,147012,163776,,149684,0,0,0,149684,39329,0,0,7748,47077,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Labor and Workforce Development Agency,,"C.E.A., Range C",False,False,,79764,181548,,142570,0,0,5570,148140,37570,0,0,19460,57030,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Labor and Workforce Development Agency,,"Director of Legislation, Labor and Workforce Development Agency",False,False,,137904,153648,,141693,0,0,5586,147280,37676,0,0,14996,52672,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Labor and Workforce Development Agency,,"C.E.A., Range B",False,False,,79764,181548,,135980,0,0,5270,141251,35547,0,0,19460,55007,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Labor and Workforce Development Agency,,"Senior Policy Advisor, Benefit Programs, Edd",False,False,,121668,135528,,67446,0,62121,0,129566,17492,0,0,8108,25600,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Labor and Workforce Development Agency,,"Associate Secretary, Farmworker and Immigrant Services, Lwda",False,False,,121668,135528,,120507,0,0,-309,120199,32481,0,0,14986,47467,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Labor and Workforce Development Agency,,Staff Services Manager I,False,False,,65640,81552,,74368,0,0,0,74368,20289,0,0,19460,39749,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Labor and Workforce Development Agency,,"Associate Governmental Program Analyst, Range A",False,False,,55200,69096,,66463,0,0,0,66463,17832,0,0,7277,25109,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Labor and Workforce Development Agency,,Special Consultant,False,False,,0,1200000,,17750,0,35282,0,53031,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Labor and Workforce Development Agency,,"Staff Services Analyst (General), Range C",False,False,,45888,57456,,47612,0,0,-56,47556,12884,0,0,14227,27110,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Labor and Workforce Development Agency,,"Office Technician (Typing), Range A",False,False,,33708,42180,,35369,0,0,0,35369,9795,0,0,13983,23778,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Labor and Workforce Development Agency,,Staff Services Manager I,False,False,,65640,81552,,27079,0,0,0,27079,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Labor and Workforce Development Agency,,Limited Examination and Appointment Program Candidate (Identified Class),False,False,,0,181716,,7737,0,0,-154,7583,2150,0,0,1752,3902,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Labor and Workforce Development Agency,,Staff Services Manager II (Supervisory),False,False,,72060,89544,,2759,0,0,0,2759,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2017,,,,

