Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2012,State Department,Legislative Counsel Bureau,,Legislative Counsel,,,,174996,174996,,172273,0,0,24,172297,33503,0,0,16040,49543,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Legislative Counsel Bureau,,Deputy Legislative Counsel IV,,,,101904,125808,,140542,0,0,3225,143767,27902,0,0,16040,43942,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Legislative Counsel Bureau,,Chief Deputy Legislative Counsel C.E.A.,,,,129504,145620,,143632,0,0,0,143632,27881,0,0,12344,40226,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel II,,,,123336,138696,,135973,0,0,1783,137756,26878,0,0,16040,42918,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel II,,,,123336,138696,,135243,0,0,72,135315,26553,0,0,16040,42594,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel II,,,,123336,138696,,135243,0,0,0,135243,26553,0,0,16040,42594,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel II,,,,123336,138696,,131153,0,0,1757,132910,26914,0,0,16040,42954,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Legislative Counsel Bureau,,Deputy Legislative Counsel IV,,,,101904,125808,,126828,0,0,5924,132752,25195,0,0,1984,27179,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel II,,,,123336,138696,,124683,0,0,6738,131421,26566,0,0,16040,42606,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel II,,,,123336,138696,,130085,0,0,128,130213,25403,0,0,12344,37747,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
