Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,Legislative Counsel Bureau,,Information Systems Manager,False,False,,89304,106464,,9286,0,227852,0,237138,2302,0,0,1211,3513,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Legislative Counsel,False,False,,183744,183744,,178878,0,0,12,178890,45279,0,0,18200,63479,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Chief Deputy Legislative Counsel,False,False,,135396,156816,,153928,0,0,2942,156870,38101,0,0,7268,45370,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Chief Deputy Legislative Counsel C.E.A.,False,False,,135396,156816,,150983,0,0,0,150983,38101,0,0,14024,52125,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel II,False,False,,128952,149364,,144149,0,0,2802,146952,36290,0,0,18200,54491,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel II,False,False,,128952,149364,,143876,0,0,2802,146678,36290,0,0,18200,54491,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel II,False,False,,128952,149364,,143534,0,0,2906,146441,36290,0,0,18200,54491,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel II,False,False,,128952,149364,,142711,0,0,2802,145514,36290,0,0,18200,54491,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel II,False,False,,128952,149364,,143624,0,0,40,143664,36290,0,0,18200,54491,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel II,False,False,,128952,149364,,138720,0,0,3458,142178,36290,0,0,18200,54491,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel II,False,False,,128952,149364,,138778,0,0,2890,141669,36290,0,0,18200,54491,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel I,False,False,,111864,142248,,136671,0,0,2789,139459,34562,0,0,18200,52763,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel I,False,False,,111864,142248,,136523,0,0,2877,139400,34562,0,0,18200,52763,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel I,False,False,,111864,142248,,135700,0,0,2669,138369,34562,0,0,18200,52763,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Deputy Legislative Counsel IV,False,False,,106548,135480,,135415,0,0,2638,138053,32918,0,0,1984,34902,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel I,False,False,,111864,142248,,137555,0,0,232,137787,34562,0,0,14024,48587,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel I,False,False,,111864,142248,,136089,0,0,652,136741,34502,0,0,6168,40670,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Principal Deputy Legislative Counsel II,False,False,,128952,149364,,136670,0,0,0,136670,36290,0,0,18200,54491,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,"C.E.A., Range C",False,False,,77436,172908,,135496,0,0,0,135496,33038,0,0,2884,35922,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Deputy Legislative Counsel IV,False,False,,106548,135480,,132493,0,0,2606,135099,32918,0,0,7268,40187,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Legislative Counsel Bureau,,Deputy Legislative Counsel IV,False,False,,106548,135480,,132298,0,0,2614,134912,32918,0,0,7268,40187,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
