Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,103113,0,0,2935,106048,0,0,0,0,0,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,79788,0,0,24080,103868,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,99856,0,0,1471,101327,0,0,0,5049,5049,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,100154,0,0,127,100282,0,0,0,5049,5049,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,98228,0,0,439,98667,0,0,0,1536,1536,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,91952,0,0,4831,96783,0,0,0,1536,1536,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,83485,0,0,12440,95925,0,0,0,9812,9812,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,95241,0,0,247,95488,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,91212,0,0,2935,94147,0,0,0,1280,1280,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,90943,0,0,2935,93878,0,0,0,1536,1536,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,92231,0,0,1471,93703,0,0,0,1536,1536,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,92080,0,0,919,92999,0,0,0,1536,1536,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,86020,0,0,6861,92881,0,0,0,9812,9812,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,92231,0,0,439,92671,0,0,0,1536,1536,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,92080,0,0,439,92519,0,0,0,1536,1536,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,92231,0,0,247,92479,0,0,0,1536,1536,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,92231,0,0,127,92359,0,0,0,1536,1536,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,90815,0,0,1471,92286,0,0,0,1408,1408,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,91326,0,0,919,92245,0,0,0,1536,1536,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,92231,0,0,0,92231,0,0,0,1536,1536,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,91824,0,0,366,92190,0,0,0,1280,1280,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,91706,0,0,439,92145,0,0,0,1536,1536,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,91952,0,0,0,91952,0,0,0,1408,1408,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,91565,0,0,127,91692,0,0,0,1408,1408,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,91094,0,0,439,91534,0,0,0,1536,1536,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,90815,0,0,247,91062,0,0,0,1408,1408,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,89613,0,0,247,89860,0,0,0,5049,5049,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,88201,0,0,1471,89672,0,0,0,2450,2450,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,88146,0,0,1471,89617,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,89380,0,0,117,89497,0,0,0,1408,1408,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,89389,0,0,31,89420,0,0,0,4631,4631,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,89281,0,0,103,89384,0,0,0,5049,5049,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,88819,0,0,439,89258,0,0,0,9812,9812,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,88970,0,0,103,89073,0,0,0,9812,9812,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,88696,0,0,103,88799,0,0,0,10800,10800,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,88478,0,0,247,88725,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,88587,0,0,103,88690,0,0,0,7828,7828,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,87627,0,0,919,88547,0,0,0,5049,5049,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,88326,0,0,0,88326,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,87859,0,0,103,87962,0,0,0,5049,5049,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,87677,0,0,127,87804,0,0,0,5049,5049,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,87678,0,0,103,87781,0,0,0,5049,5049,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,87763,0,0,0,87763,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,87612,0,0,103,87715,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,87373,0,0,127,87500,0,0,0,5049,5049,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,86999,0,0,439,87438,0,0,0,5049,5049,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,87209,0,0,0,87209,0,0,0,5049,5049,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,86746,0,0,127,86873,0,0,0,5049,5049,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,84870,0,0,1471,86341,0,0,0,10284,10284,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,84868,0,0,1471,86339,0,0,0,9812,9812,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,86120,0,0,0,86120,0,0,0,1536,1536,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,84384,0,0,1471,85855,0,0,0,9812,9812,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,84746,0,0,919,85666,0,0,0,9812,9812,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,84899,0,0,766,85665,0,0,0,10550,10550,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,84002,0,0,1471,85473,0,0,0,9812,9812,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,85309,0,0,86,85395,0,0,0,9812,9812,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,83592,0,0,919,84512,0,0,0,11605,11605,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,84425,0,0,86,84511,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,81502,0,0,2935,84437,0,0,0,9812,9812,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,82812,0,0,1471,84284,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,83050,0,0,919,83969,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,82430,0,0,1471,83901,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,82430,0,0,1471,83901,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,82278,0,0,1471,83750,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,82253,0,0,1471,83724,0,0,0,5049,5049,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,83432,0,0,103,83536,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,83268,0,0,206,83474,0,0,0,11735,11735,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,83144,0,0,247,83391,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,81500,0,0,1471,82972,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,82661,0,0,247,82908,0,0,0,12673,12673,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,82483,0,0,103,82586,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,82629,0,0,-625,82003,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,81565,0,0,247,81812,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,81500,0,0,127,81628,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,79116,0,0,247,79363,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Assembly, California State",,Legislator,True,False,,95291,109584,,77050,0,0,127,77177,0,0,0,12654,12654,,https://www.calhr.ca.gov,,07/14/2014,,,,
