Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,107997,0,0,45200,153198,0,0,0,7440,7440,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,105754,0,0,43184,148938,0,0,0,14472,14472,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,106330,0,0,42512,148842,0,0,0,18660,18660,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,105258,0,0,42210,147468,0,0,0,18660,18660,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,127026,0,0,0,127026,0,0,0,15358,15358,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,124345,0,0,418,124763,0,0,0,15519,15519,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,118457,0,0,134,118591,0,0,0,15358,15358,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,111308,0,0,4886,116194,0,0,0,1536,1536,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,115409,0,0,158,115567,0,0,0,18660,18660,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,110459,0,0,4886,115345,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,111995,0,0,2990,114985,0,0,0,1536,1536,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,111708,0,0,1526,113235,0,0,0,1536,1536,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,111708,0,0,1526,113235,0,0,0,1536,1536,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,109772,0,0,2990,112762,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,109772,0,0,2990,112762,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,111708,0,0,974,112683,0,0,0,1536,1536,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,111533,0,0,974,112507,0,0,0,1536,1536,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,112139,0,0,158,112297,0,0,0,7219,7219,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,111995,0,0,302,112297,0,0,0,1536,1536,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,111995,0,0,182,112177,0,0,0,1536,1536,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,111867,0,0,167,112034,0,0,0,1408,1408,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,111995,0,0,0,111995,0,0,0,1536,1536,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,111308,0,0,494,111802,0,0,0,1536,1536,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Assembly, California State",,Legislator,True,False,,114877,132107,,111482,0,0,0,111482,815,0,0,7554,8369,,https://www.calhr.ca.gov,,09/01/2020,,,True,
