Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,131912,0,0,3458,135370,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,128156,0,0,2472,130628,0,0,0,15132,15132,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,102094,0,0,26854,128948,0,0,0,15132,15132,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,108917,0,0,19257,128174,0,0,0,19476,19476,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,118868,0,0,5108,123976,0,0,0,7764,7764,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,114366,0,0,7740,122107,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,116413,0,0,5317,121730,0,0,0,1536,1536,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,113968,0,0,7534,121502,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,114366,0,0,5539,119906,37699,0,0,0,37699,Legislative Retirement System (LRS)-Legislator,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,114366,0,0,5474,119841,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,114562,0,0,4944,119506,0,0,0,1969,1969,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,113370,0,0,5680,119050,0,0,0,7764,7764,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,114877,0,0,3872,118749,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,114366,0,0,3960,118327,0,0,0,15999,15999,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,110610,0,0,7534,118145,0,0,0,15132,15132,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,114562,0,0,3326,117888,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,112293,0,0,5150,117443,0,0,0,15132,15132,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,114877,0,0,2472,117349,0,0,0,0,0,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,111977,0,0,5108,117086,0,0,0,15132,15132,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,110865,0,0,6092,116957,0,0,0,15132,15132,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,114542,0,0,2360,116902,0,0,0,23216,23216,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,113685,0,0,2824,116510,0,0,0,7764,7764,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,112289,0,0,4120,116409,0,0,0,15132,15132,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,111977,0,0,4303,116280,0,0,0,15132,15132,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,115043,0,0,1236,116279,0,0,0,768,768,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,113605,0,0,2660,116266,0,0,0,7764,7764,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,110448,0,0,5768,116216,0,0,0,7764,7764,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,113370,0,0,2472,115842,0,0,0,7764,7764,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,110610,0,0,5108,115719,0,0,0,15132,15132,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,111377,0,0,3750,115128,0,0,0,15132,15132,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,110334,0,0,2978,113312,0,0,0,16568,16568,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,107488,0,0,5562,113050,0,0,0,19476,19476,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,110252,0,0,2678,112930,0,0,0,7764,7764,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,110379,0,0,2472,112851,0,0,0,647,647,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,109484,0,0,2884,112368,0,0,0,19476,19476,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,110381,0,0,1575,111956,0,0,0,24822,24822,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,110280,0,0,0,110280,0,0,0,16218,16218,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,107241,0,0,2786,110028,0,0,0,7764,7764,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,105741,0,0,4010,109752,0,0,0,15132,15132,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,105741,0,0,2978,108720,0,0,0,15132,15132,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,103608,0,0,3664,107272,0,0,0,15358,15358,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Senate, California State",,Legislator,True,False,,114877,132107,,102416,0,0,3914,106330,0,0,0,15132,15132,,https://www.calhr.ca.gov,,07/27/2021,,,True,

