Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,112137,0,0,44004,156141,0,0,0,20724,20724,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,110362,0,0,43467,153829,0,0,0,20724,20724,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,137655,0,0,1418,139073,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,137453,0,0,986,138439,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,120951,0,0,1399,122350,0,0,0,1536,1536,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,119180,0,0,1623,120803,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,119180,0,0,1488,120668,36375,0,0,0,36375,Legislative Retirement System (LRS)-Legislator,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,119180,0,0,1418,120598,0,0,0,20303,20303,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,119500,0,0,986,120486,0,0,0,15609,15609,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,120387,0,0,0,120387,0,0,0,8292,8292,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,119376,0,0,997,120373,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,117816,0,0,2198,120014,0,0,0,8292,8292,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,119376,0,0,378,119754,0,0,0,20325,20325,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,119702,0,0,0,119702,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,119500,0,0,0,119500,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,119376,0,0,0,119376,0,0,0,20292,20292,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,119376,0,0,0,119376,0,0,0,7805,7805,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,119155,0,0,192,119347,0,0,0,16104,16104,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,117322,0,0,2015,119337,0,0,0,8292,8292,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,118511,0,0,784,119295,0,0,0,2684,2684,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,119180,0,0,0,119180,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,119180,0,0,0,119180,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,118088,0,0,464,118552,0,0,0,20724,20724,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,118011,0,0,314,118325,0,0,0,8292,8292,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,116125,0,0,1862,117987,0,0,0,16104,16104,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,117816,0,0,0,117816,0,0,0,8292,8292,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,115971,0,0,1623,117594,0,0,0,16104,16104,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,116714,0,0,506,117220,0,0,0,20724,20724,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,116292,0,0,0,116292,0,0,0,16104,16104,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,116110,0,0,0,116110,0,0,0,8292,8292,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,115513,0,0,80,115593,0,0,0,20292,20292,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,113678,0,0,1623,115301,0,0,0,16104,16104,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,115119,0,0,0,115119,0,0,0,20724,20724,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,112561,0,0,2198,114759,0,0,0,16104,16104,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,114381,0,0,314,114695,0,0,0,20724,20724,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,113311,0,0,55,113366,0,0,0,8292,8292,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,112881,0,0,0,112881,0,0,0,16104,16104,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,112561,0,0,0,112561,0,0,0,16104,16104,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,112082,0,0,0,112082,0,0,0,17270,17270,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,110560,0,0,986,111546,0,0,0,20744,20744,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,111145,0,0,356,111501,0,0,0,8292,8292,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Senate, California State",,Legislator,True,False,,122694,141097,,107339,0,0,277,107616,0,0,0,20724,20724,,https://www.calhr.ca.gov,,07/25/2023,,,True,

