Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2010,State Department,Mental Health Services Oversight and Accountability Commission,,"C.E.A., Range 2",,,,74076,160572,,81822,0,36434,189,118446,9831,0,0,3290,13121,,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Mental Health Services Oversight and Accountability Commission,,"Executive Director, Oversight And Accountability Commission",,,,118620,128328,,104784,0,0,210,104994,19390,0,0,5636,25026,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Mental Health Services Oversight and Accountability Commission,,Mental Health Program Administrator,,,,81348,89688,,77257,0,0,5091,82348,15212,0,0,5636,20849,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Mental Health Services Oversight and Accountability Commission,,Mental Health Program Supervisor,,,,66912,80724,,67945,0,0,0,67945,12697,0,0,14084,26782,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Mental Health Services Oversight and Accountability Commission,,Staff Mental Health Specialist,,,,57996,70488,,62471,0,0,0,62471,11279,0,0,2873,14151,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Mental Health Services Oversight and Accountability Commission,,Staff Mental Health Specialist,,,,57996,70488,,61615,0,0,0,61615,11453,0,0,5475,16928,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Mental Health Services Oversight and Accountability Commission,,Staff Mental Health Specialist,,,,57996,70488,,61268,0,0,0,61268,11279,0,0,5313,16592,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Mental Health Services Oversight and Accountability Commission,,Staff Mental Health Specialist,,,,57996,70488,,58529,0,0,0,58529,11279,0,0,10403,21682,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Mental Health Services Oversight and Accountability Commission,,Associate Mental Health Specialist,,,,52800,64176,,52403,0,0,0,52403,9315,0,0,2873,12187,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Mental Health Services Oversight and Accountability Commission,,Staff Mental Health Specialist,,,,57996,70488,,52391,0,0,0,52391,9830,0,0,5243,15073,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Mental Health Services Oversight and Accountability Commission,,Mental Health Program Supervisor,,,,66912,80724,,51944,0,0,-2032,49912,13189,0,0,5636,18826,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Mental Health Services Oversight and Accountability Commission,,Staff Services Manager I,,,,60948,73524,,48384,0,0,630,49014,9751,0,0,13893,23644,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Mental Health Services Oversight and Accountability Commission,,"Staff Services Analyst (General), Range C",,,,43896,53352,,40199,0,0,0,40199,7969,0,0,13607,21576,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Mental Health Services Oversight and Accountability Commission,,Staff Mental Health Specialist,,,,57996,70488,,38095,0,0,-90,38005,8541,0,0,9587,18127,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Mental Health Services Oversight and Accountability Commission,,"Staff Services Analyst (General), Range B",,,,36600,44496,,33205,0,0,0,33205,6305,0,0,5632,11936,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Mental Health Services Oversight and Accountability Commission,,"Office Technician (Typing), Range A",,,,32232,39168,,28719,0,0,0,28719,0,0,0,367,367,Alternate Retirement Plan (ARP),https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Mental Health Services Oversight and Accountability Commission,,Staff Mental Health Specialist,,,,57996,70488,,28061,0,0,0,28061,0,0,0,,0,,https://www.calhr.ca.gov,,07/01/2014,,,,

