Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,State Department,Military Department (California National Guard),,The Adjutant General,False,False,,187498,187498,,178975,0,0,38201,217176,56761,0,0,19460,76222,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Military Department (California National Guard),,O7,False,False,,76784,151283,,140582,0,0,49918,190500,49246,0,0,1839,51085,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Military Department (California National Guard),,O7,False,False,,76784,151283,,141999,0,823,42685,185507,47629,0,0,1345,48974,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Military Department (California National Guard),,O7,False,False,,76784,151283,,145700,0,0,37748,183447,48031,0,0,14996,63027,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Military Department (California National Guard),,O7,False,False,,76784,151283,,144934,0,0,37778,182712,48031,0,0,19460,67491,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Military Department (California National Guard),,O7,False,False,,76784,151283,,143122,0,0,37748,180870,48031,0,0,19460,67491,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Military Department (California National Guard),,The Assistant Adjutant General,False,False,,151283,151283,,147893,0,0,32133,180027,46496,0,0,5827,52323,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Military Department (California National Guard),,O6,False,False,,64012,135936,,138895,0,0,35828,174723,45177,0,0,1839,47016,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Military Department (California National Guard),,O6,False,False,,64012,135936,,134856,0,0,33572,168428,43032,0,0,2144,45176,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Military Department (California National Guard),,O6,False,False,,64012,135936,,128067,0,0,40076,168142,44719,0,0,19460,64179,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,Military Department (California National Guard),,O6,False,False,,64012,135936,,129970,0,0,37431,167401,44022,0,0,19460,63482,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
