Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2010,State Department,"Motor Vehicles, Department of",,"C.E.A., Range 2",,,,74076,160572,,104349,0,46286,0,150634,18664,0,0,1991,20654,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,"C.E.A., Range 4",,,,74076,160572,,96947,0,53687,0,150634,18332,0,0,15258,33590,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,"Supervising Investigator II, Department Of Motor Vehicles",,,,72696,92148,,90809,0,48744,48,139602,25189,0,0,11832,37021,3.00% @ 50,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,"C.E.A., Range 2",,,,74076,160572,,98242,0,38438,0,136680,17693,0,0,2535,20229,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,Systems Software Specialist III (Technical),,,,73320,93552,,79442,135,55148,1214,135940,15097,0,0,10403,25500,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,Director/Dept Of Motor Vehicles,,,,142965,150112,,124364,0,0,24,124388,22876,0,0,12194,35070,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,"Senior Programmer Analyst (Specialist), Range A",,,,66852,85308,,75598,0,47501,797,123896,13578,0,0,1811,15388,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,Supervising Management Auditor,,,,81348,94164,,80107,0,42267,0,122374,15067,0,0,10724,25792,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,Deputy Secretary And General Counsel,,,,136344,136344,,116757,0,0,24,116781,21817,0,0,14084,35901,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,Data Processing Manager IV,,,,93900,108708,,80524,0,33055,0,113578,14487,0,0,9941,24428,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,"C.E.A., Range 5",,,,74076,160572,,113571,0,0,6,113577,21014,0,0,14084,35098,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,"C.E.A., Range 3",,,,74076,160572,,110630,0,0,0,110630,29572,0,0,2990,32563,3.00% @ 50,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,Assistant Chief Counsel,,,,107160,120516,,108591,0,0,0,108591,19424,0,0,1991,21415,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,Chief Counsel II C.E.A.,,,,115572,129948,,108590,0,0,0,108590,20175,0,0,13380,33555,1.25% @ 65,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,Manager III Department Of Motor Vehicles,,,,52824,64200,,60691,1340,44521,872,107424,11546,0,0,11832,23378,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,"C.E.A., Range 4",,,,74076,160572,,106577,0,0,48,106625,19777,0,0,14084,33862,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,"Senior Information Systems Analyst (Specialist), Range A",,,,66852,85308,,50631,0,55742,0,106373,7560,0,0,3288,10848,,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,"C.E.A., Range 4",,,,74076,160572,,105006,0,0,0,105006,19681,0,0,14084,33766,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,Systems Software Specialist III (Supervisory),,,,76992,98244,,87842,0,16374,0,104216,15719,0,0,3526,19246,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,"Investigator, Range C",,,,58656,74328,,63133,39093,0,1906,104132,18236,0,0,12752,30988,3.00% @ 50,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,Assistant Chief Counsel,,,,107160,120516,,103083,0,0,0,103083,19314,0,0,10844,30158,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,Staff Services Manager III,,,,81348,89688,,63373,0,39271,0,102644,10516,0,0,3079,13596,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Motor Vehicles, Department of",,"Attorney III, Range A",,,,92184,113736,,100856,0,0,54,100910,18025,0,0,3299,21323,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
