Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,State Department,California Science Center,,Staff Services Manager II (Supervisory),False,False,,80664,100224,,94921,0,64977,527,160425,22244,0,0,4095,26339,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Exposition Park Manager,False,False,,164580,183348,,155825,0,0,1300,157125,48458,0,0,23898,72356,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"C.E.A., Range B",False,False,,89304,210156,,142440,0,0,1300,143740,43915,0,0,12270,56185,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"C.E.A., Range B",False,False,,89304,210156,,109749,0,0,13771,123520,38330,0,0,24113,62443,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Deputy Director, Educational Programs, California Science Center, C.E.A.",False,False,,114192,129660,,118971,0,0,1300,120271,37031,0,0,19480,56512,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Deputy Director for Exhibit Development and Operations,False,False,,115512,128652,,103849,0,0,667,104517,33295,0,0,16751,50046,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Administrator, Science Program, California Science Center",False,False,,97008,110172,,102471,0,0,1300,103771,31794,0,0,19017,50811,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"C.E.A., Range A",False,False,,89304,210156,,101526,0,0,1300,102826,33742,0,0,23909,57651,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Administrator, Science Program, California Science Center",False,False,,97008,110172,,99879,0,0,1300,101179,31794,0,0,19017,50811,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Administrator, Industrial Education Program, California Science Center",False,False,,97008,110172,,98849,0,0,1300,100149,31794,0,0,19017,50811,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Chief of Plant Operation I,False,False,,71280,88632,,64307,0,33746,0,98052,20243,0,0,9436,29679,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Chief Engineer II,False,False,,69372,88632,,97402,0,0,0,97402,29012,0,0,6945,35957,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Administrator, Science Program, California Science Center",False,False,,97008,110172,,90238,0,0,1560,91798,26926,0,0,2111,29037,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Manager of Exhibit Services,False,False,,85032,96576,,89581,0,0,1300,90881,27871,0,0,18668,46538,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Staff Services Manager II (Managerial),False,False,,89304,101436,,87231,0,0,1300,88531,29119,0,0,23503,52622,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Museum Security Officer,False,False,,46824,59484,,64083,22257,0,1810,88150,25813,0,0,21903,47716,3.00% @ 50,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Museum Security Officer,False,False,,46824,59484,,64151,18841,0,1634,84626,25638,0,0,22506,48144,3.00% @ 50,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Supervising Museum Security Officer, Range S",False,False,,50676,62652,,59602,23365,0,1330,84297,12693,0,0,5682,18376,2.50% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Stationary Engineer, Range A",False,False,,70932,76524,,82508,19,0,0,82527,24390,0,0,4797,29187,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Chief of Plant Operation I,False,False,,71280,88632,,80314,0,0,0,80314,25578,0,0,24189,49767,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Stationary Engineer, Range A",False,False,,70932,76524,,80136,0,0,0,80136,25049,0,0,18211,43260,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Staff Services Manager II (Managerial),False,False,,89304,101436,,78180,0,0,1135,79315,22227,0,0,18149,40377,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Museum Security Officer,False,False,,46824,59484,,47183,7569,23564,950,79265,24377,0,0,17938,42315,3.00% @ 50,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Chief, Exposition Events",False,False,,76848,95484,,77536,0,0,1300,78836,24728,0,0,23114,47842,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Stationary Engineer, Range A",False,False,,70932,76524,,82134,0,0,-4377,77757,25049,0,0,3648,28697,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Stationary Engineer, Range A",False,False,,70932,76524,,77389,0,0,0,77389,24390,0,0,19016,43406,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Staff Services Manager I,False,False,,73488,91296,,68041,0,0,8766,76806,23961,0,0,22258,46218,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Staff Services Manager I,False,False,,73488,91296,,74532,0,0,1300,75832,23692,0,0,10464,34156,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Supervisor of Building Trades, Range A",False,False,,63912,75816,,74812,0,0,0,74812,20726,0,0,23567,44293,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Chief of Plant Operation I,False,False,,71280,88632,,74581,0,0,0,74581,24136,0,0,23989,48125,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Exhibit Supervisor,False,False,,60768,75504,,72779,0,0,1300,74079,21872,0,0,4609,26481,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Plumber I, Range A",False,False,,57048,65736,,62526,0,11066,0,73592,20365,0,0,11201,31565,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Stationary Engineer, Range A",False,False,,70932,76524,,71347,2041,0,149,73538,21971,0,0,10516,32487,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Stationary Engineer, Range A",False,False,,70932,76524,,72945,445,0,6,73396,22133,0,0,16809,38942,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Exhibit Designer/Coordinator,False,False,,65016,80760,,72092,0,0,1300,73392,23306,0,0,17672,40978,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Museum Security Officer,False,False,,46824,59484,,51660,20349,0,1250,73259,24397,0,0,22582,46980,3.00% @ 50,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Senior Accounting Officer (Supervisor),False,False,,66852,83064,,68724,1739,0,1323,71786,22656,0,0,22925,45580,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Supervising Museum Security Officer, Range S",False,False,,50676,62652,,53922,16402,0,1250,71574,13002,0,0,22993,35996,2.50% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Museum Security Officer,False,False,,46824,59484,,62863,6999,0,1546,71408,25382,0,0,17982,43364,3.00% @ 50,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Staff Services Manager I,False,False,,73488,91296,,69312,0,0,1300,70612,22294,0,0,22894,45188,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,68870,0,0,1300,70170,22323,0,0,22284,44607,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Museum Security Officer,False,False,,46824,59484,,60888,4698,0,1746,67332,24397,0,0,17890,42288,3.00% @ 50,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,64940,721,0,1300,66961,21583,0,0,17097,38681,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Museum Security Officer,False,False,,46824,59484,,45962,19774,0,765,66502,20660,0,0,9817,30477,3.00% @ 50,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Stationary Engineer, Range A",False,False,,70932,76524,,65916,0,0,293,66209,21071,0,0,22393,43464,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Museum Security Officer,False,False,,46824,59484,,43819,20730,0,589,65138,20020,0,0,9789,29809,3.00% @ 50,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Accounting Officer (Specialist), Range A",False,False,,53952,67548,,62137,1580,0,1300,65016,18602,0,0,2758,21359,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Graphic Designer III, Range A",False,False,,64404,80628,,62799,0,0,1300,64099,22578,0,0,21685,44263,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Museum Security Officer,False,False,,46824,59484,,51170,10640,0,1250,63060,25638,0,0,18006,43644,3.00% @ 50,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,61702,0,0,1300,63002,19279,0,0,9607,28886,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Senior Personnel Specialist, Range A",False,False,,55272,69240,,59298,0,0,3700,62998,19388,0,0,22026,41414,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Electrician Supervisor, Range S",False,False,,61260,69300,,61479,813,0,474,62766,19995,0,0,23470,43465,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,60607,0,0,1300,61907,18484,0,0,8130,26614,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Museum Security Officer,False,False,,46824,59484,,54443,3390,0,2895,60728,23024,0,0,20732,43757,3.00% @ 50,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,59307,0,0,1300,60607,18484,0,0,9263,27747,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,"Maintenance Mechanic, Range A",False,False,,54384,62664,,60269,0,0,0,60269,18084,0,0,4118,22202,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,California Science Center,,Museum Security Officer,False,False,,46824,59484,,54748,3205,0,1250,59204,25638,0,0,10290,35928,3.00% @ 50,https://www.calhr.ca.gov,,07/27/2021,,,True,
