Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2017,State Department,Native American Heritage Commission,,Executive Secretary/Native American Heritage Commission,False,False,,152892,170328,,132996,0,108582,0,241577,35860,0,0,2601,38460,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Native American Heritage Commission,,"Attorney III, Range A",False,False,,106272,136332,,130358,0,0,0,130358,36389,0,0,7610,44000,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Native American Heritage Commission,,"Environmental Scientist, Range C",False,False,,64464,80148,,74702,0,0,510,75212,21538,0,0,14622,36160,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Native American Heritage Commission,,Associate Environmental Planner,False,False,,63276,79260,,68448,964,0,5291,74703,20702,0,0,14435,35138,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Native American Heritage Commission,,"Associate Governmental Program Analyst, Range A",False,False,,57408,71856,,55566,388,0,2500,58454,16114,0,0,13624,29738,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Native American Heritage Commission,,"Associate Governmental Program Analyst, Range A",False,False,,57408,71856,,48936,0,0,2500,51436,14630,0,0,13996,28625,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Native American Heritage Commission,,"Associate Governmental Program Analyst, Range A",False,False,,57408,71856,,48288,0,0,2500,50788,13633,0,0,6832,20465,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Native American Heritage Commission,,"Staff Services Analyst (General), Range C",False,False,,47724,59760,,47187,243,0,2500,49931,13396,0,0,7058,20454,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Native American Heritage Commission,,"Staff Services Analyst (General), Range C",False,False,,47724,59760,,33475,528,0,2500,36503,9573,0,0,6832,16405,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Native American Heritage Commission,,Associate Environmental Planner,False,False,,63276,79260,,21696,0,0,0,21696,0,0,0,0,0,,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Native American Heritage Commission,,"Office Technician (General), Range A",False,False,,34416,43116,,17426,0,0,0,17426,0,0,0,0,0,,https://www.calhr.ca.gov,,07/31/2018,,,True,

