Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,Secretary for Environmental Protection,,Secretary for Environmental Protection,False,False,,208695,239844,,226820,0,0,1927,228747,46734,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,Deputy Secretary for Law Enforcement and Counsel,False,False,,188124,228648,,203083,0,0,673,203756,46733,0,0,1996,48729,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,Undersecretary for Environmental Protection,False,False,,212028,212028,,195881,0,0,2020,197901,66271,0,0,23377,89647,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,Information Technology Manager II,False,False,,128808,156576,,120457,0,57886,8217,186560,40902,0,0,15181,56083,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,Environmental Program Manager I (Supervisory),False,False,,143352,178212,,171000,0,0,7305,178305,56058,0,0,9397,65455,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,"C.E.A., Range A",False,False,,117060,241728,,177086,0,0,650,177736,46733,0,0,666,47399,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,Deputy Secretary of Environmental Policy and Emergency Resp,False,False,,165432,184332,,175252,0,0,1807,177059,46733,0,0,22807,69540,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,"C.E.A., Range B",False,False,,117060,241728,,165602,0,0,9185,174787,56562,0,0,23377,79939,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,Deputy Secretary and Special Counsel for Water Policy,False,False,,170400,189864,,169498,0,0,2470,171968,46733,0,0,18217,64950,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,Deputy Secretary for Communications and External Affairs,False,False,,165432,184332,,145370,0,0,23728,169098,54126,0,0,23377,77502,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,Deputy Secretary for Public Policy,False,False,,170400,189864,,158067,0,0,7170,165237,52681,0,0,9397,62078,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,Senior Environmental Scientist(Specialist),False,False,,88032,109512,,105380,58846,0,550,164776,35044,0,0,8593,43637,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,Deputy Secretary for Legislative Affairs,False,False,,155760,173484,,159029,0,0,5594,164623,52636,0,0,9397,62032,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,"Deputy Secretary for Environmental Justice, Tribal Affairs and Border Relations",False,False,,170400,189864,,159283,0,0,2127,161410,48981,0,0,9397,58378,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,"Attorney III, Range A",False,False,,126432,162312,,156551,0,0,275,156826,46045,0,0,1996,48041,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,Assistant General Counsel for Enforcement,False,False,,155760,173484,,150520,0,0,2500,153020,50350,0,0,23377,73727,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,"Attorney IV, Range A",False,False,,139728,179448,,141015,0,0,11984,152999,47579,0,0,22693,70272,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,Environmental Program Manager I (Supervisory),False,False,,143352,178212,,148071,0,0,650,148721,50138,0,0,23377,73515,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,Information Technology Manager II,False,False,,128808,156576,,145269,0,0,2470,147739,49253,0,0,18217,67470,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,Deputy Secretary for Climate Policy and Intergovernmental Relations,False,False,,170400,189864,,115203,0,22467,2320,139990,38548,0,0,6329,44876,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,Senior Environmental Scientist (Supervisory),False,False,,123972,154116,,139206,0,0,650,139856,46841,0,0,18217,65058,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,Secretary for Environmental Protection,,Information Technology Manager I,False,False,,106188,142284,,132872,0,0,2420,135292,44529,0,0,9397,53926,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
