Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,State Department,California Department of Technology,,"Deputy Director, Information Technology Project Oversight and Consulting Division",False,False,,137904,153648,,160199,0,44869,0,205068,41885,0,0,8393,50278,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,California Department of Technology,,Data Processing Manager III,False,False,,91980,109656,,120913,0,50646,4193,175751,31536,0,0,8393,39929,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,California Department of Technology,,"Systems Software Specialist III (Technical), Range A",False,False,,76656,100752,,105434,0,64902,0,170336,28246,0,0,20524,48769,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,California Department of Technology,,Data Processing Manager III,False,False,,91980,109656,,106739,0,56234,4536,167509,27833,0,0,8352,36185,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,California Department of Technology,,"Systems Software Specialist III (Technical), Range A",False,False,,76656,100752,,110650,0,55337,0,165987,28246,0,0,2284,30530,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,California Department of Technology,,"C.E.A., Range C",False,False,,79764,181548,,154404,0,0,5914,160318,39886,0,0,2038,41924,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,California Department of Technology,,"Chief Deputy Director, Deputy State Chief Information Officer",False,False,,147012,166728,,153411,0,0,5930,159341,40361,0,0,19460,59821,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,California Department of Technology,,Associate Telecommunications Engineer,False,False,,89772,112332,,114739,0,39146,0,153885,29288,0,0,15736,45025,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,California Department of Technology,,"Director, Department of Technology",False,False,,153954,176691,,146461,0,0,5513,151973,39312,0,0,19460,58772,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,California Department of Technology,,Chief Counsel,False,False,,147012,163776,,143229,0,0,5433,148662,37459,0,0,19460,56919,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,California Department of Technology,,Data Processing Manager IV,False,False,,101124,120588,,141958,0,0,0,141958,37354,0,0,14996,52350,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,California Department of Technology,,Systems Software Specialist III (Technical),False,False,,0,0,,89590,0,48720,0,138310,24047,0,0,18948,42994,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,California Department of Technology,,"Chief, Office of Technology Services",False,False,,137901,153647,,138289,0,0,0,138289,35873,0,0,1984,37857,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
