Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,State Department,"Administrative Law, Office of",,"Attorney IV, Range A",False,False,,132240,169788,,140340,0,76122,2894,219355,43260,0,0,22176,65436,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,Deputy Director,False,False,,187068,187068,,172016,0,0,6882,178898,50480,0,0,4300,54781,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Director, Office of Administrative Law",False,False,,177513,194870,,160894,0,0,3120,164014,50875,0,0,23691,74566,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,Assistant Chief Counsel,False,False,,160044,187200,,145912,0,0,1820,147732,44019,0,0,10080,54100,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Attorney III, Range A",False,False,,119712,153576,,135851,0,0,5322,141173,40777,0,0,17539,58316,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Attorney III, Range A",False,False,,119712,153576,,134533,0,0,1820,136353,41376,0,0,22099,63475,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Attorney III, Range A",False,False,,119712,153576,,134419,0,0,1820,136239,41376,0,0,22099,63475,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Attorney IV, Range A",False,False,,132240,169788,,134177,0,0,0,134177,41631,0,0,4006,45637,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Attorney III, Range A",False,False,,119712,153576,,126442,0,0,1820,128262,39741,0,0,21993,61734,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Attorney III, Range A",False,False,,119712,153576,,109023,0,0,10991,120014,33485,0,0,17138,50623,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Attorney, Range D",False,False,,98904,126864,,103445,0,0,10591,114036,32147,0,0,9420,41566,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Attorney III, Range A",False,False,,119712,153576,,111236,0,0,1820,113056,33485,0,0,9482,42967,,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Attorney, Range D",False,False,,98904,126864,,94316,0,0,5798,100114,28829,0,0,16909,45737,,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,Staff Services Manager II (Supervisory),False,False,,84336,104784,,92242,0,0,3120,95362,28359,0,0,23132,51491,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Associate Governmental Program Analyst, Range A",False,False,,64596,80868,,69136,0,0,6094,75230,21887,0,0,10440,32327,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Associate Governmental Program Analyst, Range A",False,False,,64596,80868,,68288,0,0,3120,71408,20339,0,0,1845,22184,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Attorney, Range A",False,False,,83748,87108,,65841,0,0,1092,66933,20475,0,0,8602,29076,,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Legal Analyst, Range A",False,False,,56412,70620,,60052,0,0,5718,65770,19113,0,0,9505,28618,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Staff Services Analyst (General), Range C",False,False,,53712,67248,,46963,0,0,5920,52883,13992,0,0,1288,15281,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Legal Analyst, Range A",False,False,,56412,70620,,45948,0,0,2860,48808,13726,0,0,1087,14813,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Office Technician (Typing), Range A",False,False,,39444,49368,,43618,0,0,3120,46738,13129,0,0,14696,27825,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,"Administrative Law, Office of",,"Office Technician (Typing), Range A",False,False,,39444,49368,,32779,0,0,3120,35899,10306,0,0,8524,18830,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,

