Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,State Department,"Inspector General, Office of the",,"Physician And Surgeon, Correctional Facility (Internal Medicine/Family Practice), Range V",False,False,,282228,296328,,285751,0,0,11187,296938,87867,0,0,23228,111095,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Inspector General, Office of the",,"Physician And Surgeon, Correctional Facility (Internal Medicine/Family Practice), Range V",False,False,,282228,296328,,291670,0,0,0,291670,87867,0,0,5115,92982,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Inspector General, Office of the",,"Physician And Surgeon, Correctional Facility (Internal Medicine/Family Practice), Range V",False,False,,282228,296328,,284810,0,0,0,284810,87867,0,0,3255,91122,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Inspector General, Office of the",,"Physician And Surgeon, Correctional Facility (Internal Medicine/Family Practice), Range V",False,False,,282228,296328,,280873,0,0,-292,280581,86293,0,0,23166,109459,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Inspector General, Office of the",,"Physician And Surgeon, Correctional Facility (Internal Medicine/Family Practice), Range V",False,False,,282228,296328,,265443,0,0,0,265443,81552,0,0,23189,104741,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Inspector General, Office of the",,Chief Assistant Inspector General,False,False,,145140,177612,,173227,0,0,10999,184227,80815,0,0,9882,90697,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Inspector General, Office of the",,Senior Assistant Inspector General,False,False,,131700,169164,,165187,0,0,13070,178257,34609,0,0,5193,39802,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Inspector General, Office of the",,Inspector General/Office Of The Inspector General,False,False,,163330,182215,,176787,0,0,0,176787,84200,0,0,9274,93474,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Inspector General, Office of the",,Senior Assistant Inspector General,False,False,,131700,169164,,168189,0,0,6978,175167,76972,0,0,3742,80713,3.00% @ 50,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Inspector General, Office of the",,Chief Assistant Inspector General,False,False,,145140,177612,,170255,0,0,2346,172601,36536,0,0,21952,58488,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
