Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,"Health Care Access and Information, Department of",,Senior Structural Engineer,False,False,,136704,171072,,190799,0,161497,325,352621,61586,0,0,19699,81285,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,"Senior Architect, Range A",False,False,,130632,163500,,181966,0,31401,6766,220133,58859,0,0,1967,60826,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,Senior Structural Engineer,False,False,,136704,171072,,154578,0,61479,300,216357,50510,0,0,18097,68607,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,"C.E.A., Range B",False,False,,117060,241728,,203566,0,0,10179,213745,68599,0,0,18217,86816,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,Principal Structural Engineer,False,False,,174324,198012,,201959,0,0,8177,210136,65328,0,0,9397,74724,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,Senior Mechanical Engineer,False,False,,130512,163320,,108652,0,90312,6704,205668,35822,0,0,11996,47818,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,Director of Health Care Access and Information,False,False,,212371,212371,,201895,0,0,2420,204315,46733,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,"C.E.A., Range A",False,False,,117060,241728,,192719,0,0,9886,202605,46733,0,0,18217,64950,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,"C.E.A., Range A",False,False,,117060,241728,,197908,0,0,330,198238,46733,0,0,1996,48729,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,"Supervisor, Health Facilities Review",False,False,,150384,188292,,189914,0,0,7636,197550,61355,0,0,9397,70752,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,"Chief Deputy Director, Health Care Access and Information",False,False,,170400,193176,,185132,0,0,7814,192946,60766,0,0,136,60902,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,"Supervisor, Health Facilities Review",False,False,,150384,188292,,184235,0,0,7196,191431,60618,0,0,23377,83994,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,District Structural Engineer,False,False,,143484,179604,,182838,334,0,6908,190080,58145,0,0,23377,81522,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,District Structural Engineer,False,False,,143484,179604,,182402,0,0,6975,189377,58524,0,0,23377,81901,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,Senior Structural Engineer,False,False,,136704,171072,,172403,16164,0,300,188867,56773,0,0,23214,79988,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,"Supervisor, Health Facilities Review",False,False,,150384,188292,,181093,0,0,7331,188424,46733,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,District Structural Engineer,False,False,,143484,179604,,179377,276,0,8181,187834,58192,0,0,9397,67588,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,District Structural Engineer,False,False,,143484,179604,,175250,2283,0,9706,187239,46733,0,0,9397,56130,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,"Supervisor, Health Facilities Review",False,False,,150384,188292,,185405,0,0,0,185405,62487,0,0,18217,80704,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,Senior Structural Engineer,False,False,,136704,171072,,165109,17950,0,300,183359,46733,0,0,17517,64251,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,District Structural Engineer,False,False,,143484,179604,,175829,0,0,7076,182905,59604,0,0,18217,77821,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,"Supervisor, Health Facilities Review",False,False,,150384,188292,,180004,0,0,25,180029,60665,0,0,18217,78882,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,District Structural Engineer,False,False,,143484,179604,,172925,0,0,7076,180001,59604,0,0,23377,82981,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,"Supervisor, Health Facilities Review",False,False,,150384,188292,,179611,0,0,300,179911,59230,0,0,23377,82607,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,Senior Structural Engineer,False,False,,136704,171072,,169207,9573,0,300,179080,53813,0,0,2485,56298,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,"Compliance Officer, Health Facilities Construction",False,False,,120180,150456,,159061,16744,0,3000,178805,47646,0,0,1967,49614,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,District Structural Engineer,False,False,,143484,179604,,167992,3039,0,6908,177939,58335,0,0,23377,81712,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,"Supervisor, Health Facilities Review",False,False,,150384,188292,,177050,0,0,25,177075,59230,0,0,18217,77447,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,Senior Structural Engineer,False,False,,136704,171072,,163759,6047,0,6688,176494,46733,0,0,23283,70016,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,"Attorney, Assistant Chief Counsel",False,False,,169080,197796,,162537,0,0,13315,175852,54043,0,0,17785,71828,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Health Care Access and Information, Department of",,"Attorney, Assistant Chief Counsel",False,False,,169080,197796,,162075,0,0,12944,175019,46733,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
