Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2011,State Department,"Systems Integration, Office of",,"Senior Information Systems Analyst (Specialist), Range A",,,,66852,85308,,82941,0,46855,0,129796,15925,0,0,12359,28284,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager IV,,,,93900,108708,,108768,0,19482,0,128250,20383,0,0,12881,33264,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,"C.E.A., Range 3",,,,74076,160572,,114976,0,0,0,114976,20203,0,0,3026,23229,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,"C.E.A., Range 2",,,,74076,160572,,104216,0,0,0,104216,19253,0,0,15416,34670,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager IV,,,,93900,108708,,103239,0,0,929,104168,18905,0,0,6140,25046,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager IV,,,,93900,108708,,102609,0,0,0,102609,18736,0,0,15416,34153,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager IV,,,,93900,108708,,102507,0,0,0,102507,18736,0,0,6140,24877,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager IV,,,,93900,108708,,100552,0,0,0,100552,18588,0,0,15416,34004,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager IV,,,,93900,108708,,97952,0,0,0,97952,15192,0,0,15416,30608,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,"Senior Information Systems Analyst (Specialist), Range A",,,,66852,85308,,61918,0,35924,0,97841,11171,0,0,1744,12915,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager IV,,,,93900,108708,,96454,0,0,0,96454,17691,0,0,6140,23831,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager III,,,,85416,98868,,94223,0,0,24,94247,17040,0,0,6140,23181,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager III,,,,85416,98868,,92642,0,0,0,92642,17040,0,0,11852,28893,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager III,,,,85416,98868,,91943,0,0,0,91943,17035,0,0,11852,28888,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager IV,,,,93900,108708,,90036,0,0,1800,91836,17313,0,0,15416,32730,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Systems Software Specialist III (Supervisory),,,,76992,98244,,91586,0,0,0,91586,16933,0,0,15416,32349,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager III,,,,85416,98868,,91520,0,0,0,91520,16968,0,0,15416,32384,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Systems Software Specialist III (Supervisory),,,,76992,98244,,91033,0,0,0,91033,0,0,0,15416,15416,ALTERNATE RETIREMENT PLAN (ARP),https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager III,,,,85416,98868,,89075,0,0,0,89075,15699,0,0,1984,17683,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager III,,,,85416,98868,,89075,0,0,0,89075,15699,0,0,1984,17683,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager IV,,,,93900,108708,,88757,0,0,0,88757,16709,0,0,11852,28561,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager III,,,,85416,98868,,88705,0,0,0,88705,17040,0,0,15416,32457,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager III,,,,85416,98868,,87550,0,0,0,87550,16138,0,0,11852,27990,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Systems Software Specialist III (Supervisory),,,,76992,98244,,87440,0,0,0,87440,16124,0,0,10865,26989,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Senior Information Systems Analyst (Supervisor),,,,70200,89580,,87346,0,0,0,87346,15440,0,0,3026,18466,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager III,,,,85416,98868,,87004,0,0,6,87010,17040,0,0,15416,32457,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Systems Software Specialist III (Technical),,,,73320,93552,,86834,0,0,0,86834,16124,0,0,14154,30279,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Systems Software Specialist III (Technical),,,,73320,93552,,86418,0,0,0,86418,16124,0,0,14917,31042,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Systems Software Specialist III (Technical),,,,73320,93552,,86284,0,0,0,86284,16124,0,0,14663,30788,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager III,,,,85416,98868,,85080,0,0,0,85080,15812,0,0,15416,31228,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager II,,,,70188,89568,,84961,0,0,0,84961,15438,0,0,11852,27290,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager II,,,,70188,89568,,84851,0,0,0,84851,15438,0,0,6140,21578,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager II,,,,70188,89568,,84292,0,0,0,84292,15438,0,0,11852,27290,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager III,,,,85416,98868,,84184,0,0,0,84184,15812,0,0,15416,31228,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager II,,,,70188,89568,,84178,0,0,0,84178,15438,0,0,6140,21578,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager III,,,,85416,98868,,83550,0,0,0,83550,15635,0,0,15416,31051,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Systems Integration, Office of",,Data Processing Manager II,,,,70188,89568,,83277,0,0,0,83277,15438,0,0,15416,30854,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
