Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,State Department,"Peace Officer Standards & Training, Commission on",,"Chief Counsel I, C.E.A.",False,False,,172188,201456,,182835,0,0,14750,197585,58293,0,0,19254,77547,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Peace Officer Standards & Training, Commission on",,"Executive Director, Commission on Peace Officer Standards and Training/Dept of Justice",False,False,,181980,206028,,181802,0,0,3737,185539,40630,0,0,1886,42516,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Peace Officer Standards & Training, Commission on",,"C.E.A., Range B",False,False,,113652,234684,,167652,0,0,455,168107,40863,0,0,1992,42855,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Peace Officer Standards & Training, Commission on",,Assistant Chief Counsel,False,False,,164040,191880,,163147,0,0,3711,166858,52335,0,0,21568,73902,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Peace Officer Standards & Training, Commission on",,Senior Law Enforcement Consultant Commission on Peace Officer Standards and Training,False,False,,154080,169848,,161648,0,0,1850,163498,50769,0,0,3109,53878,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Peace Officer Standards & Training, Commission on",,"C.E.A., Range B",False,False,,113652,234684,,158419,0,0,3562,161981,37909,0,0,8901,46810,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Peace Officer Standards & Training, Commission on",,"C.E.A., Range B",False,False,,113652,234684,,153081,0,0,4993,158074,49573,0,0,19254,68827,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Peace Officer Standards & Training, Commission on",,Senior Law Enforcement Consultant Commission on Peace Officer Standards and Training,False,False,,154080,169848,,157229,0,0,350,157579,40901,0,0,17169,58070,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Peace Officer Standards & Training, Commission on",,Senior Law Enforcement Consultant Commission on Peace Officer Standards and Training,False,False,,154080,169848,,155531,0,0,1903,157434,41045,0,0,1992,43037,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Peace Officer Standards & Training, Commission on",,Senior Law Enforcement Consultant Commission on Peace Officer Standards and Training,False,False,,154080,169848,,156051,0,0,350,156401,40883,0,0,22173,63055,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Peace Officer Standards & Training, Commission on",,Senior Law Enforcement Consultant Commission on Peace Officer Standards and Training,False,False,,154080,169848,,153577,0,0,350,153927,44697,0,0,1992,46689,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,"Peace Officer Standards & Training, Commission on",,Information Technology Manager II,False,False,,125052,152016,,145538,0,0,2015,147553,45548,0,0,1062,46610,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
