Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2011,State Department,"Human Resources, Department of",,Senior Chief Deputy Director,,,,142965,150112,,144253,0,0,0,144253,26383,0,0,11852,38236,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Human Resources, Department of",,Assistant Chief Counsel,,,,107160,120516,,127274,0,0,0,127274,22856,0,0,3580,26436,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Human Resources, Department of",,Labor Relations Counsel IV,,,,101904,125808,,125574,0,1608,-136,127046,22766,0,0,6673,29439,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Human Resources, Department of",,Deputy Director/Department Of Personnel Administration,,,,142248,142248,,126824,0,0,60,126884,22685,0,0,1984,24669,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Human Resources, Department of",,"C.E.A., Range 5",,,,74076,160572,,124420,0,0,1003,125423,22476,0,0,1984,24460,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Human Resources, Department of",,Assistant Chief Counsel,,,,107160,120516,,124848,0,0,0,124848,22856,0,0,6140,28996,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Human Resources, Department of",,Assistant Chief Counsel,,,,107160,120516,,123675,0,0,0,123675,22856,0,0,11852,34708,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Human Resources, Department of",,Chief Counsel/Department Of Personnel Administration,,,,126240,160572,,123445,0,0,194,123639,23460,0,0,15416,38877,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Human Resources, Department of",,Director/California Department Of Human Resources,,,,142965,150112,,122464,0,0,-359,122105,0,0,0,10854,10854,,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Human Resources, Department of",,"C.E.A., Range 3",,,,74076,160572,,78076,0,41967,0,120042,13690,0,0,11562,25252,,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Human Resources, Department of",,Labor Relations Counsel IV,,,,101904,125808,,117170,0,0,996,118167,21865,0,0,15416,37281,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
